"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NR_145818	1936784	6482385	-1.74286164111577	-1.9910350928291	-1861.48480324604	0	0	0	TRUE
NM_131263	4020365	1209764	1.73260085151851	1.48442739980518	1090.15785183953	0	0	0	TRUE
NM_131509	1153832	116251	3.31111814873987	3.06294469702653	911.264614469866	0	0	0	TRUE
NM_200080	787183	98482	2.99876709869202	2.75059364697869	713.318083670632	0	0	0	TRUE
NM_131156	561282	31016	4.1776412483038	3.92946779659047	701.166179389284	0	0	0	TRUE
NM_131098	689666	97227	2.82646893286455	2.57829548115122	644.778786184107	0	0	0	TRUE
NM_183071	54981	386359	-2.81293695297029	-3.06111040468363	-574.109256144917	0	0	0	TRUE
NM_001008615	485805	56937	3.09293895368902	2.84476550197569	569.972318898716	0	0	0	TRUE
NM_213277	726227	175389	2.04986230025069	1.80168884853736	529.122253166294	0	0	0	TRUE
NM_178437	544072	104735	2.37705394581637	2.12888049410304	511.130610936329	0	0	0	TRUE
NM_214706	925437	287383	1.68716005820393	1.43898660649059	508.261091297746	0	0	0	TRUE
NM_001098392	16652	236964	-3.83090053022412	-4.07907398193745	-502.109542607912	0	0	0	TRUE
NM_212818	18191	238207	-3.71091905070018	-3.95909250241351	-498.887121870898	0	0	0	TRUE
NM_213058	45589	286692	-2.65274397846139	-2.90091743017473	-481.809497966357	0	0	0	TRUE
NM_198817	560685	127753	2.13383330381431	1.88565985210098	479.423752499332	0	0	0	TRUE
NM_212708	18850	217173	-3.52620832284416	-3.77438177455749	-468.89590200455	0	0	0	TRUE
NM_130925	1002863	378332	1.40639982204604	1.15822637033271	447.238944896613	0	0	0	TRUE
NM_001353934	7489	153508	-4.35739694306468	-4.60557039477801	-416.468137615637	0	0	0	TRUE
NM_214773	32934	202244	-2.61844725240304	-2.86662070411638	-402.231436871038	0	0	0	TRUE
NM_213223	567246	173687	1.70748475431899	1.45931130260566	401.865283771576	0	0	0	TRUE
NM_212634	186522	14383	3.69690927531656	3.44873582360322	385.468810081923	0	0	0	TRUE
NM_001037424	564427	182173	1.63147785047913	1.3833043987658	385.033010992801	0	0	0	TRUE
NM_001098730	426194	115834	1.87945150249255	1.63127805077922	377.841341834713	0	0	0	TRUE
NM_194367	294509	56056	2.39337101607763	2.14519756436429	377.735824497021	0	0	0	TRUE
NM_200086	33157	185068	-2.48067007643653	-2.72884352814987	-375.125404035352	0	0	0	TRUE
NM_001309644	740071	286403	1.36961708028989	1.12144362857655	374.189379980983	0	0	0	TRUE
NM_001002383	163461	9970	4.03520915073284	3.78703569901951	373.676103684025	0	0	0	TRUE
NM_212587	595144	206390	1.5278657115711	1.27969225985777	372.419026941183	0	0	0	TRUE
NM_001128336	31653	177804	-2.48987363375314	-2.73804708546647	-368.338082389416	0	0	0	TRUE
NM_131025	745405	295777	1.3335146253791	1.08534117366576	365.737461615917	0	0	0	TRUE
NM_181601	957941	434044	1.1420955032176	0.893922051504263	353.203821690262	0	0	0	TRUE
NM_180964	5613	106199	-4.24185431185391	-4.49002776356725	-344.527895260853	0	0	0	TRUE
NM_001003528	161872	15841	3.35311813845835	3.10494468674502	343.14310373888	0	0	0	TRUE
NM_001256191	116435	2437	5.57827473180891	5.33010128009558	339.708365325708	0	0	0	TRUE
NM_001281721	1121820	555914	1.01290758884727	0.764734137133932	334.543338986788	0	0	0	TRUE
NM_001271897	199374	31374	2.66783590164019	2.41966244992686	334.223233626264	0	0	0	TRUE
NM_001118897	141903	11454	3.63098167634001	3.38280822462667	333.567009561037	0	0	0	TRUE
NM_213439	16314	125237	-2.94047839253721	-3.18865184425055	-332.932103016487	0	0	0	TRUE
NM_001305588	221638	40593	2.44890238317874	2.20072893146541	332.915862047575	0	0	0	TRUE
NM_199430	30202	152228	-2.33351775060208	-2.58169120231541	-330.17445389509	0	0	0	TRUE
NM_131031	658308	271661	1.27695526473832	1.02878181302499	328.955061821279	0	0	0	TRUE
NM_001128697	134155	10549	3.66872267609006	3.42054922437672	325.810572207049	0	0	0	TRUE
NM_001005999	142235	13279	3.42105810394834	3.17288465223501	324.840467057249	0	0	0	TRUE
NM_212996	491293	185032	1.40880888713613	1.1606354354228	313.237216202017	0	0	0	TRUE
NM_194371	95813	834	6.8440302215978	6.59585676988447	306.227295516893	0	0	0	TRUE
NM_131162	117564	9254	3.66722544209478	3.41905199038145	304.940448422067	0	0	0	TRUE
NM_131320	138138	17024	3.02046828011297	2.77229482839964	299.821631771259	0	0	0	TRUE
NM_181758	121501	11597	3.38914463639181	3.14097118467847	298.854641411983	0	0	0	TRUE
NM_001327928	18289	111750	-2.61122673226355	-2.85940018397689	-298.57924584826	0	0	0	TRUE
NM_131765	207137	45143	2.19801107721905	1.94983762550572	297.822238536437	0	0	0	TRUE
NM_131580	287485	83507	1.78351764092321	1.53534418920988	296.90509645812	0	0	0	TRUE
NM_001115138	178330	33671	2.40497095055068	2.15679749883735	294.882844835482	0	0	0	TRUE
NM_200171	4862	79379	-4.02913558920329	-4.27730904091662	-294.401937830778	0	0	0	TRUE
NM_001079988	6923	83572	-3.59355040880629	-3.84172386051962	-292.590972947499	0	0	0	TRUE
