"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NR_145818	2908065	1936784	0.586396449981564	1.00405970574403	768.285310101237	0	0	0	TRUE
NM_001077804	290421	142463	1.02755850054687	1.44522175630933	321.3612316418	0	0	0	TRUE
NM_131025	316525	745405	-1.23570504424804	-0.818041788485577	-281.363461654817	0	0	0	TRUE
NM_001002867	74568	270526	-1.85913870437595	-1.44147544861348	-267.78351403802	0	0	0	TRUE
NM_001161336	19738	136352	-2.78828814395003	-2.37062488818756	-266.077228745197	0	0	0	TRUE
NM_001001889	102945	29545	1.80088785649055	2.21855111225302	256.743977040138	0	0	0	TRUE
NM_001076652	641035	535035	0.260769858648452	0.678433114410918	256.308157693578	0	0	0	TRUE
NM_001002378	102961	315995	-1.6178037599758	-1.20014050421333	-251.282895338438	0	0	0	TRUE
NM_131580	91514	287485	-1.6514223111991	-1.23375905543663	-244.9468743894	0	0	0	TRUE
NM_213113	45122	185972	-2.04318250440583	-1.62551924864336	-242.472883604044	0	0	0	TRUE
NM_001080609	117714	44394	1.40684930393502	1.82451255969748	241.751209138973	0	0	0	TRUE
NM_131509	597156	1153832	-0.950253407303997	-0.532590151541531	-239.745732759392	0	0	0	TRUE
NM_001161447	61475	219337	-1.83507746610598	-1.41741421034351	-238.066074013461	0	0	0	TRUE
NM_131059	379712	290323	0.387246723189048	0.804909978951514	228.768896734835	0	0	0	TRUE
NM_001033107	110323	310062	-1.49082313212788	-1.07315987636542	-227.531956918585	0	0	0	TRUE
NM_001347672	58734	205203	-1.80478402372619	-1.38712076796372	-226.527743956491	0	0	0	TRUE
NM_213464	74851	237183	-1.66390711322872	-1.24624385746625	-224.231494397542	0	0	0	TRUE
NM_001326405	28457	134112	-2.23658284880858	-1.81891959304611	-222.790126536695	0	0	0	TRUE
NM_212584	514263	437556	0.233038688853913	0.650701944616379	221.162862882537	0	0	0	TRUE
NM_131069	404051	322527	0.325117464625489	0.742780720387955	220.150445355524	0	0	0	TRUE
NM_001281721	1122314	1121820	0.000635159363664428	0.41829841512613	219.142953920469	0	0	0	TRUE
NM_001077140	75448	22362	1.75443343293126	2.17209668869372	216.923488330191	0	0	0	TRUE
NM_201481	92603	34252	1.43487070172912	1.85253395749159	216.647736480412	0	0	0	TRUE
NM_001145604	114770	51010	1.16989357599733	1.58755683175979	216.416373109158	0	0	0	TRUE
