"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_131263	2688913	1080162	1.31577537703371	1.56319203634644	1008.22696146876	0	0	0	TRUE
NM_200080	697710	68410	3.35034837622993	3.59776503554267	826.380196188478	0	0	0	TRUE
NM_131509	597156	73388	3.02449178193387	3.27190844124661	735.637020106239	0	0	0	TRUE
NM_131156	410254	13900	4.88336061210543	5.13077727141817	692.509220324772	0	0	0	TRUE
NM_178437	480738	69772	2.78453075210354	3.03194741141627	637.54730782075	0	0	0	TRUE
NM_183071	31411	477724	-3.9268355786048	-3.67941891929207	-632.619669649481	0	0	0	TRUE
NM_131098	425920	62480	2.76911611776991	3.01653277708265	598.600995116181	0	0	0	TRUE
NM_001008615	362802	34756	3.38384844908872	3.63126510840145	597.744591095872	0	0	0	TRUE
NM_001281721	1122314	534082	1.07134320088221	1.31875986019495	571.365177037565	0	0	0	TRUE
NM_214706	727245	255622	1.50842946588243	1.75584612519516	567.004924189803	0	0	0	TRUE
NM_212996	509660	158422	1.68576243383359	1.93317909314632	506.520569908221	0	0	0	TRUE
NM_212708	9241	268246	-4.85936386888216	-4.61194720956943	-505.397131133925	0	0	0	TRUE
NM_130925	795198	367900	1.1120004520761	1.35941711138883	491.876628587022	0	0	0	TRUE
NM_212818	13333	267620	-4.32711260012711	-4.07969594081438	-489.711496227276	0	0	0	TRUE
NM_212587	582917	220676	1.40136074118747	1.64877740050021	485.478306598419	0	0	0	TRUE
NM_001353934	2741	225682	-6.36344521790636	-6.11602855859363	-473.6609150071	0	0	0	TRUE
NM_001076652	641035	270674	1.24384681503721	1.49126347434994	473.308437009253	0	0	0	TRUE
NM_194367	255680	36578	2.80529121423349	3.05270787354622	466.308097026183	0	0	0	TRUE
NM_131069	404051	117404	1.78305584140928	2.03047250072202	465.665757093435	0	0	0	TRUE
NM_001271897	189548	11136	4.08926021269989	4.33667687201262	456.50818346192	0	0	0	TRUE
NM_001098392	12067	232170	-4.26604261084964	-4.0186259515369	-454.066251246923	0	0	0	TRUE
NM_213223	487055	181280	1.42586492954155	1.67328158885429	448.355269751315	0	0	0	TRUE
NM_131059	379712	117892	1.68743977082014	1.93485643013288	437.341931808861	0	0	0	TRUE
NM_213277	463450	178532	1.37623101444357	1.62364767375631	428.033716158284	0	0	0	TRUE
NM_213439	5952	180138	-4.91958421230629	-4.67216755299355	-415.187527247254	0	0	0	TRUE
NM_001005999	144406	4754	4.92484497325141	5.17226163256414	411.140459315303	0	0	0	TRUE
NM_213519	146887	7132	4.36425620492896	4.61167286424169	407.441631610677	0	0	0	TRUE
NM_001033595	502659	231234	1.12022647536005	1.36764313467279	392.594064579091	0	0	0	TRUE
NM_213364	100749	406454	-2.01232656693061	-1.76490990761788	-390.129602293489	0	0	0	TRUE
NM_213058	46655	279560	-2.58305434421096	-2.33563768489822	-387.734634813987	0	0	0	TRUE
NM_212584	514263	243568	1.07818175474107	1.32559841405381	387.724544698651	0	0	0	TRUE
NM_214722	257825	69786	1.88538261464393	2.13279927395666	383.74277864692	0	0	0	TRUE
NM_212634	139526	10392	3.74698874538701	3.99440540469975	382.787589385813	0	0	0	TRUE
NM_001002867	74568	341386	-2.19477534326259	-1.94735868394985	-382.165994668648	0	0	0	TRUE
NM_213278	236518	63754	1.89136221652825	2.13877887584099	368.178147726771	0	0	0	TRUE
NM_180964	3618	135910	-5.23131539259079	-4.98389873327806	-364.453022444621	0	0	0	TRUE
NM_001347672	58734	282842	-2.26772856678074	-2.020311907468	-356.31615099636	0	0	0	TRUE
NM_001128336	30315	210948	-2.79878368186522	-2.55136702255249	-354.375441924683	0	0	0	TRUE
NM_199428	344938	143954	1.26072919453035	1.50814585384308	349.856393904937	0	0	0	TRUE
NM_213180	3725	125088	-5.06955915905241	-4.82214249973967	-347.910036127431	0	0	0	TRUE
NM_001037424	434215	211522	1.03760184174628	1.28501850105902	347.740269232816	0	0	0	TRUE
NM_001077804	290421	108568	1.41954683969392	1.66696349900666	345.138334570029	0	0	0	TRUE
NM_199782	43124	236326	-2.45421545206649	-2.20679879275375	-344.417748557729	0	0	0	TRUE
NM_001005967	125658	13780	3.18885472997716	3.4362713892899	344.246823552078	0	0	0	TRUE
NM_198817	280524	104068	1.43059768398378	1.67801434329652	340.793779397845	0	0	0	TRUE
NM_181601	681478	420068	0.698044195403092	0.945460854715827	340.235371786233	0	0	0	TRUE
NM_214773	50325	243570	-2.27498927824065	-2.02757261892791	-331.404716628966	0	0	0	TRUE
NM_212703	16007	154428	-3.27015950624492	-3.02274284693218	-331.013327568952	0	0	0	TRUE
NM_131162	98812	6378	3.95351025458507	4.2009269138978	326.862874195361	0	0	0	TRUE
NM_201514	97118	6824	3.8310491599834	4.07846581929614	321.350831939337	0	0	0	TRUE
NM_200086	26302	176338	-2.74509899096967	-2.49768233165694	-320.136218057337	0	0	0	TRUE
NM_201318	41870	213362	-2.3493144303228	-2.10189777101007	-317.410811271891	0	0	0	TRUE
NM_201475	236494	87058	1.44175479964624	1.68917145895898	314.349244677437	0	0	0	TRUE
NM_001327928	10596	124400	-3.55339483153571	-3.30597817222297	-309.353433204408	0	0	0	TRUE
NM_001077536	89861	6316	3.83061204038045	4.07802869969318	309.099670719652	0	0	0	TRUE
NM_200171	2383	96426	-5.33857134597168	-5.09115468665895	-307.806127203932	0	0	0	TRUE
NM_212657	22084	156996	-2.82965439073198	-2.58223773141925	-307.742422075877	0	0	0	TRUE
NM_001003528	97992	10010	3.29122199922295	3.53863865853568	307.538149193061	0	0	0	TRUE
NM_212603	310953	145324	1.09742355484585	1.34484021415859	304.696860755297	0	0	0	TRUE
NM_001128697	85736	6006	3.83542473000024	4.08284138931298	302.024938294358	0	0	0	TRUE
NM_001256191	79213	736	6.7498876403688	6.99730429968153	300.240328671363	0	0	0	TRUE
NM_199430	28255	168240	-2.57394266088101	-2.32652600156828	-300.040102695037	0	0	0	TRUE
NM_001256780	2504	91792	-5.19606195571935	-4.94864529640662	-299.210988025069	0	0	0	TRUE
NM_212909	7364	108054	-3.8751190427193	-3.62770238340657	-299.207215851879	0	0	0	TRUE
NM_001122654	167429	49400	1.76096648856799	2.00838314788073	297.49900956373	0	0	0	TRUE
NM_200185	121267	23402	2.3734832709691	2.62089993028183	297.091454521016	0	0	0	TRUE
NM_001004601	311453	150448	1.04974954077716	1.2971662000899	296.57579006678	0	0	0	TRUE
NM_212937	25384	158482	-2.64232766039553	-2.39491100108279	-296.231355963779	0	0	0	TRUE
NM_001077535	22116	149126	-2.75336943037395	-2.50595277106122	-294.941012901335	0	0	0	TRUE
NM_200976	163670	48506	1.75455478720019	2.00197144651292	293.525399383959	0	0	0	TRUE
NM_194371	72584	1528	5.56993511537353	5.81735177468627	293.150472505285	0	0	0	TRUE
NM_001045488	71338	990	6.17109843420654	6.41851509351928	288.931233702916	0	0	0	TRUE
NM_001118897	76661	4838	3.98601014298308	4.23342680229582	288.496101870115	0	0	0	TRUE
NM_001017588	75198	484	7.27954343411856	7.5269600934313	287.077877202117	0	0	0	TRUE
NM_001002383	72799	3616	4.33145205018255	4.57886870949529	286.404429814669	0	0	0	TRUE
NM_001089544	4338	89818	-4.37190263949893	-4.1244859801862	-284.558538109224	0	0	0	TRUE
NM_130939	8456	103618	-3.61515545560606	-3.36773879629333	-284.539373043679	0	0	0	TRUE
NM_181758	72704	3952	4.20137988792	4.44879654723274	284.426834278719	0	0	0	TRUE
NM_001044959	2956	84182	-4.83179361110752	-4.58437695179478	-282.744143069487	0	0	0	TRUE
NM_131189	13362	116428	-3.12323018748475	-2.87581352817201	-280.486660901743	0	0	0	TRUE
NM_001037410	142751	41180	1.79348511691504	2.04090177622777	277.56568456915	0	0	0	TRUE
NM_001199720	15823	121738	-2.94368450736768	-2.69626784805495	-277.407357180097	0	0	0	TRUE
NM_001076560	139183	39112	1.83129979365093	2.07871645296367	277.326963980286	0	0	0	TRUE
NM_130926	32524	164078	-2.33480520668189	-2.08738854736916	-277.101274680639	0	0	0	TRUE
NM_001128529	6727	93864	-3.80253677862274	-3.55512011931001	-276.746002194407	0	0	0	TRUE
NM_180965	2599	78910	-4.92417960081194	-4.6767629414992	-274.827414159896	0	0	0	TRUE
