egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
nan	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_212847	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.23946666666666666	NULL	NULL	NULL	0.2771022727272728	0.27118513603185135	0.27284363636363634	0.26558230088495577	0.3287843137254902	0.2913381962864721	0.33112027491408935	0.2788012589928057	0.31385714285714283
NM_212844	NULL	NULL	NULL	0.26193900184842883	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_212845	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001004627	0.3011527883880825	0.57785	0.28992919580419585	0.3515379310344828	0.3574265734265734	NULL	0.35014545454545454	0.3871310344827586	0.27127919566898684	0.5136000000000001	0.2626312056737589	0.30513103448275863	0.2498892284186402	0.4847499999999999	0.2429458041958042	0.2722758620689655	0.26898930481283423	0.6453	0.2656538461538462	0.24340000000000003	0.29959511077158135	0.7798499999999999	0.2889090909090909	0.3176620689655172	0.31469601837672284	0.6514	0.3101884312007011	0.30372413793103453
NM_212849	0.27600478468899525	NULL	0.27600478468899525	NULL	0.32554594594594594	NULL	0.32554594594594594	NULL	0.278267180475273	NULL	0.278267180475273	NULL	0.25151483949121745	NULL	0.25151483949121745	NULL	0.2573700648202711	NULL	0.2573700648202711	NULL	0.2904889277389277	NULL	0.2904889277389277	NULL	NULL	NULL	NULL	NULL
NM_205638	0.3026101571063208	0.35000375939849626	0.2935715174129353	0.3048435689455388	0.34722639445862197	0.3995330882352941	0.34311256218905467	0.3384055619930475	0.2802676056338028	0.28719672131147544	0.28945254556882466	0.26137543453070683	0.24557708412637994	NULL	0.24032151741293534	0.2517427578215527	0.27987568555758685	0.27726515151515146	0.29086442786069655	0.2601993047508691	0.2885515858549034	0.31879044117647065	0.287556592039801	0.28087485515643107	0.2716362166531932	0.302243119266055	0.27071428571428574	0.26539281575898027
NM_001159988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1957349177330896	NULL	0.1921952380952381	0.20744094488188972	0.24961862917398947	NULL	0.2614117647058824	0.20857480314960627	0.2593997050147493	NULL	0.25825771324863883	0.2643543307086614	0.25941368078175897	NULL	0.2595852156057495	0.25875590551181105
NM_001159983	0.3193252496433666	0.39832885906040266	0.2796382978723404	0.3116119873817035	0.32672050561797755	0.33401875000000003	0.324740425531915	0.3245047318611987	0.329781976744186	0.3161549295774647	0.34657641921397375	0.3237539432176656	0.2610188953488372	0.2762205882352941	0.24954468085106382	0.2630031545741325	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.26017741935483873	NULL	NULL	NULL	NULL
NM_001159985	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
