RBP	RBP_name	fimo1_motif	fimo1_not_motif	fimo2_motif	fimo2_not_motif	odd1	odd2	odd	pvalue	pvalue_adj
ARE	ARE	3198	21378	1237	23339	0.1495930395733932	0.05300141394232829	2.822434883268734	1.0000108480753252e-215	5.500059664414289e-214
CPEB1	CPEB1	584	23992	214	24362	0.024341447149049684	0.008784172071258518	2.7710576422670483	4.665989270073846e-41	2.5662940985406154e-39
HUR_motif2	HUR_motif2	3514	21062	1681	22895	0.16684075586364067	0.07342214457305088	2.272349259665707	3.4429401128479016e-162	1.8936170620663457e-160
M002_0.6	ANKHD1, ANKRD17	261	24315	362	24214	0.010734114743985194	0.01495002890889568	0.7179995978200483	5.341768440783488e-05	0.0029379726424309184
M016_0.6	FMR1	264	24312	602	23974	0.01085883514313919	0.025110536414448985	0.4324413849196328	1.2081074020503443e-31	6.644590711276894e-30
M020_0.6	FXR1/2	268	24308	584	23992	0.011025176896494982	0.024341447149049684	0.4529384316792938	3.2816334557308872e-28	1.804898400651988e-26
M022_0.6	HNRNPA1/1L2/1P7/2B1/3	192	24384	111	24465	0.007874015748031496	0.004537093807480074	1.7354756331134285	3.5497958052307184e-06	0.00019523876928768952
M025_0.6	HNRNPC/CL1, RALY	3569	21007	1574	23002	0.1698957490360356	0.06842883227545431	2.482809415074264	2.8262502790333505e-194	1.5544376534683429e-192
M026_0.6	HNRNPK	299	24277	445	24131	0.012316184042509372	0.018441009489867804	0.6678692969208846	7.743906331175417e-08	4.259148482146479e-06
M027_0.6	HNRNPL	1357	23219	990	23586	0.058443516085964084	0.041974052403968454	1.39237249535712	8.713372112822251e-15	4.792354662052238e-13
M035_0.6	LIN28A/B	353	24223	1011	23565	0.01457292655740412	0.04290260980267346	0.33967459379349957	1.0598722179746837e-75	5.82929719886076e-74
M036_0.6	MATR3	833	23743	590	23986	0.035084024765193955	0.024597681981155674	1.4263142678270206	6.790851981996197e-11	3.7349685900979085e-09
M037_0.6	MBNL1/2/3	381	24195	402	24174	0.0157470551766894	0.016629436584760487	0.9469385866698744	0.471237046764665	1.0
M043_0.6	PCBP1/2/3/4	326	24250	463	24113	0.013443298969072166	0.019201260730726165	0.70012584890116	9.952302092145238e-07	5.473766150679881e-05
M047_0.6	RBM28	395	24181	275	24301	0.01633513915884372	0.011316406732233242	1.4434916970874954	3.473914157199654e-06	0.00019106527864598096
M054_0.6	RBM8A	65	24511	146	24430	0.0026518705887152707	0.005976258698321735	0.44373423618023333	2.3164889631615052e-08	1.274068929738828e-06
M061_0.6	SAMD4A/B	286	24290	738	23838	0.011774392754219844	0.03095897306821042	0.3803224586383369	1.51479104808965e-47	8.331350764493075e-46
M062_0.6	SART3	1924	22652	1295	23281	0.08493731237859792	0.055624758386667236	1.5269695517267476	1.5837107656765118e-30	8.710409211220815e-29
M074_0.6	TARDBP	865	23711	824	23752	0.03648095820505251	0.03469181542606938	1.0515724748621447	0.3219484017759512	1.0
M083_0.6	ZC3H10	160	24416	437	24139	0.00655307994757536	0.018103483988566222	0.36197894017053006	5.158166124809728e-31	2.83699136864535e-29
M100_0.6	PUM1/2	1781	22795	875	23701	0.07813116911603422	0.03691827349057002	2.116327816250431	3.1449613810959693e-74	1.729728759602783e-72
M106_0.6	SRSF1/9	468	24108	864	23712	0.019412643106022896	0.03643724696356275	0.5327692052430728	2.1250208822012767e-28	1.1687614852107022e-26
M109_0.6	RBM4/4B/14	48	24528	137	24439	0.0019569471624266144	0.005605794017758501	0.3490936620623652	3.792175563384412e-11	2.085696559861427e-09
M117_0.6	CELF6	1385	23191	976	23600	0.059721443663490144	0.04135593220338983	1.4440840885843929	6.334602768761639e-18	3.4840315228189014e-16
M120_0.6	CPEB2/3/4	2107	22469	1249	23327	0.09377364368685745	0.053543104556951174	1.7513673228849669	1.5123665179155275e-53	8.318015848535402e-52
M122_0.6	MEX3B/C/D	784	23792	745	23831	0.03295225285810356	0.03126180185472704	1.0540740105523034	0.3235041058577937	1.0
M126_0.6	SRSF4/5/6	313	24263	868	23708	0.012900300869636895	0.036612114054327655	0.3523506140752898	3.889472823480194e-62	2.1392100529141067e-60
M136_0.6	SNRPA/B2	640	23936	565	24011	0.026737967914438502	0.023530881679230353	1.1362926506081112	0.030857841710641334	1.0
M140_0.6	ENOX1/2	478	24098	703	23873	0.019835671010042327	0.029447492983705442	0.6735945576425896	3.665885255899747e-11	2.016236890744861e-09
M141_0.6	ESRP1/2	348	24228	499	24077	0.014363546310054482	0.02072517340200191	0.6930483056256148	1.8675553751584465e-07	1.0271554563371455e-05
M144_0.6	PABPC1/1L/3/4	1744	22832	1164	23412	0.07638402242466713	0.04971809328549462	1.5363425541291296	1.1990266644157932e-28	6.594646654286863e-27
M145_0.6	RBM5	442	24134	968	23608	0.018314411204110384	0.0410030498136225	0.4466597311018987	1.0164071437401565e-46	5.5902392905708606e-45
M147_0.6	CNOT4	739	23837	1045	23531	0.031002223434156984	0.04440950235859079	0.6980988704585148	1.6690583415469979e-13	9.179820878508488e-12
M148_0.6	PABPN1/1L	1517	23059	1442	23134	0.06578776182835336	0.062332497622546904	1.0554327892767867	0.16052576624943024	1.0
M151_0.6	HNRNPF/H1/H2	211	24365	455	24121	0.008659963061768932	0.01886323120931968	0.4590922395888536	8.947084611652282e-22	4.920896536408755e-20
M160_0.6	KHDRBS1/2/3	2063	22513	1039	23537	0.09163594367698663	0.04414326379742533	2.07587604073651	1.0926605715128158e-81	6.009633143320487e-80
M161_0.6	RBM6	532	24044	639	23937	0.022126102146065547	0.026695074570748215	0.828845863959892	0.0017064588448671729	0.0938552364676945
M162_0.6	PABPC5	1812	22764	1248	23328	0.07959936742224565	0.053497942386831275	1.4878958679696688	5.773178907449821e-26	3.1752483990974013e-24
M175_0.6	RBM24/38	1067	23509	854	23722	0.04538687311242503	0.03600033723969311	1.260734665073708	7.853349100038783e-07	4.3193420050213306e-05
M195_0.6	SF3B4	1159	23417	834	23742	0.04949395738138959	0.035127621935809955	1.4089754630083353	1.1289591939909796e-13	6.209275566950388e-12
M209_0.6	RBM45	243	24333	561	24015	0.009986438170385895	0.023360399750156153	0.42749431847026254	3.191534947862339e-30	1.7553442213242864e-28
M227_0.6	PTBP1/2/3	2661	21915	1418	23158	0.12142368240930869	0.06123153985663701	1.9830251320414463	5.287765403174073e-93	2.90827097174574e-91
M231_0.6	EIF2S1	463	24113	561	24015	0.019201260730726165	0.023360399750156153	0.8219577120292136	0.002174241751786804	0.11958329634827423
M250_0.6	CSDA,YBX1/2	1012	23564	886	23690	0.04294686810388729	0.03739974672857746	1.148319757766467	0.0034207109294306544	0.18813910111868598
M256_0.6	ACO1	715	23861	885	23691	0.02996521520472738	0.0373559579587185	0.8021535744804479	1.7144574059979468e-05	0.0009429515732988708
