RBP	RBP_name	fimo1_motif	fimo1_not_motif	fimo2_motif	fimo2_not_motif	odd1	odd2	odd	pvalue	pvalue_adj
ARE	ARE	5143	33771	2434	36480	0.152290426697	0.0667214912281	2.28247936151	6.78808458865e-240	3.80132736965e-238
CPEB1	CPEB1	1159	37755	413	38501	0.0306979208052	0.010726994104	2.86174491264	1.62180712659e-83	9.08211990893e-82
HUR_motif2	HUR_motif2	6482	32432	3132	35782	0.199864331524	0.0875300430384	2.28337979266	8.04884366991e-297	4.50735245515e-295
M002_0.6	ANKHD1, ANKRD17	567	38347	754	38160	0.0147860328057	0.0197589098532	0.748322296904	2.34518250574e-07	1.31330220322e-05
M016_0.6	FMR1	524	38390	1305	37609	0.0136493878614	0.034699141163	0.393363852935	1.98564108305e-78	1.11195900651e-76
M020_0.6	FXR1/2	531	38383	1271	37643	0.0138342495376	0.0337645777435	0.409726715454	2.01447858322e-71	1.1281080066e-69
M022_0.6	HNRNPA1/1L2/1P7/2B1/3	340	38574	293	38621	0.00881422719967	0.00758654617954	1.16182344259	0.0663013299459	1.0
M025_0.6	HNRNPC/CL1, RALY	6343	32571	2926	35988	0.194743790488	0.0813048794042	2.39522882163	2.65491115449e-319	1.48675024652e-317
M026_0.6	HNRNPK	717	38197	1004	37910	0.0187711076786	0.0264837773674	0.708777581769	2.80621003254e-12	1.57147761822e-10
M027_0.6	HNRNPL	2013	36901	1941	36973	0.0545513671716	0.052497768642	1.03911782506	0.246476270841	1.0
M035_0.6	LIN28A/B	756	38158	1963	36951	0.0198123591383	0.0531244079998	0.372942680856	1.05778463181e-126	5.92359393812e-125
M036_0.6	MATR3	1595	37319	1198	37716	0.0427396232482	0.0317637077103	1.34554894026	2.11471454146e-14	1.18424014322e-12
M037_0.6	MBNL1/2/3	1043	37871	862	38052	0.0275408624013	0.0226532113949	1.21575974025	2.93638415562e-05	0.00164437512714
M043_0.6	PCBP1/2/3/4	797	38117	911	38003	0.0209093055592	0.0239717917007	0.872246255945	0.00568198011203	0.318190886274
M047_0.6	RBM28	810	38104	542	38372	0.0212576107495	0.014124882727	1.50497608797	2.00239527301e-13	1.12134135288e-11
M054_0.6	RBM8A	164	38750	286	38628	0.00423225806452	0.00740395567982	0.571621204602	8.68069545572e-09	4.8611894552e-07
M061_0.6	SAMD4A/B	698	38216	1670	37244	0.0182646012142	0.0448394372248	0.407333417736	6.59965265675e-94	3.69580548778e-92
M062_0.6	SART3	2725	36189	2387	36527	0.0752991240432	0.065348919977	1.15226271635	1.07248418722e-06	6.00591144844e-05
M074_0.6	TARDBP	1866	37048	1768	37146	0.050367091341	0.0475959726485	1.05822170529	0.0993362096743	1.0
M083_0.6	ZC3H10	419	38495	934	37980	0.0108845304585	0.0245918904687	0.442606495518	3.27432238085e-46	1.83362053328e-44
M100_0.6	PUM1/2	3321	35593	1824	37090	0.0933048633158	0.0491776759234	1.89730119539	1.11039800858e-104	6.21822884806e-103
M106_0.6	SRSF1/9	902	38012	1938	36976	0.0237293486267	0.052412375595	0.452743237783	4.77957991902e-89	2.67656475465e-87
