value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_199782	56083	754438	-3.74976691502117	-3.53822290676321	-788.016849604065	0	0	0	TRUE
NM_213439	16314	424756	-4.70245186440376	-4.49090785614581	-636.064297126288	0	0	0	TRUE
NM_213180	8107	398929	-5.62082005013816	-5.4092760418802	-633.196941596947	0	0	0	TRUE
NM_183071	54981	538534	-3.29203237918872	-3.08048837093077	-627.440976949684	0	0	0	TRUE
NM_180964	5613	346683	-5.94870122453794	-5.73715721627998	-591.458525864085	0	0	0	TRUE
NM_213058	45589	468093	-3.36003752174702	-3.14849351348906	-590.836064567516	0	0	0	TRUE
NM_180965	3176	342049	-6.75084828951991	-6.53930428126196	-582.715035695443	0	0	0	TRUE
NM_214773	32934	415759	-3.65809784383652	-3.44655383557856	-578.813149830159	0	0	0	TRUE
NM_001353934	7489	297762	-5.31324275090889	-5.10169874265094	-544.1735232706	0	0	0	TRUE
NM_212708	18850	327655	-4.11954111874841	-3.90799711049046	-537.802297184655	0	0	0	TRUE
NM_001256780	3068	289311	-6.55917888448329	-6.34763487622533	-537.768977756307	0	0	0	TRUE
NM_212818	18191	323976	-4.15459018439376	-3.9430461761358	-536.300800951528	0	0	0	TRUE
NM_200086	33157	369791	-3.47932472797601	-3.26778071971805	-533.838826605742	0	0	0	TRUE
NM_131189	21149	319481	-3.91706878023614	-3.70552477197819	-521.523742556983	0	0	0	TRUE
NM_130939	6925	267895	-5.27370977354265	-5.06216576528469	-515.675950163318	0	0	0	TRUE
NM_001098392	16652	249139	-3.90318350876663	-3.69163950050867	-459.902681357958	0	0	0	TRUE
NM_212909	16270	241419	-3.89125306647814	-3.67970905822018	-452.189846932917	0	0	0	TRUE
NM_200171	4862	200825	-5.36824517292276	-5.1567011646648	-447.415059499719	0	0	0	TRUE
NM_200298	4419	195852	-5.4699001195462	-5.25835611128824	-442.681413885415	0	0	0	TRUE
NM_198121	1695	192167	-6.8249315260734	-6.61338751781545	-436.064727605952	0	0	0	TRUE
NM_213188	2192	185239	-6.40099626536161	-6.18945225710365	-431.233811256623	0	0	0	TRUE
NM_199983	8799	196843	-4.48356202720522	-4.27201801894726	-427.773719431807	0	0	0	TRUE
NM_131702	12754	192509	-3.91590420348521	-3.70436019522726	-404.752596945383	0	0	0	TRUE
NM_212703	20754	216444	-3.38253248379218	-3.17098847553422	-402.976034771249	0	0	0	TRUE
NM_001089427	1488	156680	-6.71830269673008	-6.50675868847212	-394.621189423825	0	0	0	TRUE
NM_001013533	63633	316419	-2.31398918720053	-2.10244517894257	-388.841054839224	0	0	0	TRUE
NM_001044959	7440	162942	-4.45291208993396	-4.24136808167601	-388.456262030742	0	0	0	TRUE
NM_212723	2647	148464	-5.80961113931502	-5.59806713105706	-386.855551894818	0	0	0	TRUE
NM_001128336	31653	235111	-2.89292789246307	-2.68138388420511	-386.612955583492	0	0	0	TRUE
NM_199430	30202	227924	-2.91583685165811	-2.70429284340015	-382.385762534123	0	0	0	TRUE
NM_001313770	8187	160468	-4.29280692297811	-4.08126291472016	-381.381160128719	0	0	0	TRUE
NM_001327928	18289	189826	-3.37562950913661	-3.16408550087865	-377.005570854106	0	0	0	TRUE
NM_001089544	8267	156380	-4.24154831597352	-4.03000430771556	-375.0799151833	0	0	0	TRUE
NM_001100070	2101	133747	-5.9922865593997	-5.78074255114174	-367.345306768065	0	0	0	TRUE
NM_201477	9010	153133	-4.08711429933745	-3.87557029107949	-366.624455110595	0	0	0	TRUE
NM_001288658	2055	131829	-6.00338556798937	-5.79184155973141	-364.699654560629	0	0	0	TRUE
NM_001024409	76805	313358	-2.02853968700369	-1.81699567874573	-351.389118414206	0	0	0	TRUE
NM_198807	9921	139216	-3.81069567219782	-3.59915166393986	-340.563999713439	0	0	0	TRUE
NM_001270554	4767	120938	-4.66504219024251	-4.45349818198456	-338.707774612023	0	0	0	TRUE
