value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_131263	4020365	624121	2.68742882598003	2.89897283423799	1798.45754239463	0	0	0	TRUE
NM_214706	925437	82885	3.48095183992211	3.69249584818006	954.4355413811	0	0	0	TRUE
NM_130925	1002863	199680	2.32836279001887	2.53990679827682	834.900119338048	0	0	0	TRUE
NM_200080	787183	1102	9.48043103044458	9.69197503870254	816.403660465215	0	0	0	TRUE
NM_213223	567246	7867	6.17201713677523	6.38356114503319	809.898555439886	0	0	0	TRUE
NM_131025	745405	925	9.65435541538862	9.86589942364658	784.683914379425	0	0	0	TRUE
NM_213277	726227	147321	2.30145747306109	2.51300148131904	706.004067029239	0	0	0	TRUE
NM_131031	658308	133807	2.29860913869753	2.51015314695548	671.69414526576	0	0	0	TRUE
NM_001008615	485805	1087	8.803881587959	9.01542559621696	670.779527861765	0	0	0	TRUE
NM_001281721	1121820	427562	1.39163566607187	1.60317967432983	656.03318144219	0	0	0	TRUE
NM_001130192	810398	251393	1.68868613499008	1.90023014324804	627.330446927678	0	0	0	TRUE
NM_001309644	740071	228025	1.69847167887832	1.91001568713627	601.492411887552	0	0	0	TRUE
NM_001110403	1306401	644491	1.01936568302737	1.23090969128532	580.135573503039	0	0	0	TRUE
NM_212996	491293	118038	2.05733230204475	2.2688763103027	546.801335165453	0	0	0	TRUE
NM_212587	595144	185895	1.67875081587442	1.89029482413238	535.536063352137	0	0	0	TRUE
NM_181601	957941	436502	1.13394853836078	1.34549254661874	531.95040715579	0	0	0	TRUE
NM_001037424	564427	175968	1.68147390570062	1.89301791395858	522.012815134555	0	0	0	TRUE
NM_200867	247356	14961	4.04731038075735	4.2588543890153	515.619058536511	0	0	0	TRUE
NR_145818	1936784	1269483	0.609421990641462	0.820965998899418	506.705463025763	0	0	0	TRUE
NM_131335	235241	1299	7.50059428745286	7.71213829571082	500.460194584159	0	0	0	TRUE
NM_001098730	426194	109670	1.95834134937841	2.16988535763637	495.461157808175	0	0	0	TRUE
NM_131580	287485	46091	2.64092970890688	2.85247371716483	475.126242154815	0	0	0	TRUE
NM_199986	238296	28442	3.06665991302415	3.27820392128211	461.738387923839	0	0	0	TRUE
NM_212645	178930	3906	5.51755953527756	5.72910354353552	457.209546541213	0	0	0	TRUE
NM_212603	382633	106555	1.84436301168376	2.05590701994172	453.653936110344	0	0	0	TRUE
NM_200104	481942	169658	1.50623007366034	1.7177740819183	451.169618264279	0	0	0	TRUE
NM_001115138	178330	8637	4.36787532443038	4.57941933268834	445.294308855565	0	0	0	TRUE
NM_001305588	221638	28541	2.95709746475984	3.16864147301779	438.671027200994	0	0	0	TRUE
NM_001002378	315995	79338	1.99381779603828	2.20536180429624	430.874546395282	0	0	0	TRUE
NM_001137666	165234	7492	4.46301586910849	4.67455987736644	430.378061027099	0	0	0	TRUE
NM_213024	164738	7340	4.4882495056208	4.69979351387876	430.165776516458	0	0	0	TRUE
NM_001017797	526890	215327	1.29097256727154	1.5025165755295	428.366599503208	0	0	0	TRUE
NM_213133	166727	803	7.69787205218505	7.90941606044301	417.572606743395	0	0	0	TRUE
NM_131069	322527	95499	1.7558624078234	1.96740641608136	404.702816121781	0	0	0	TRUE
NM_213279	235621	50256	2.22910037358356	2.44064438184152	395.25473646054	0	0	0	TRUE
NM_199428	406120	154977	1.38985195444749	1.60139596270544	393.93011082518	0	0	0	TRUE
NM_198140	390617	145502	1.42471575410816	1.63625976236611	392.358048351604	0	0	0	TRUE
NM_201514	125371	1437	6.44699979992583	6.65854380818379	378.618753973437	0	0	0	TRUE
