value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_001017566	2126	299	2.829924207333	3.04146821559096	42.1489130240962	0	0	0	TRUE
NM_001110039	942	388	1.27967040742566	1.49121441568361	17.9951307926923	2.12719328708511e-72	3.34351920382939e-72	5.87767427735589e-74	TRUE
NM_001025301	15299	369	5.37367272953183	5.58521673778978	133.616081967088	0	0	0	TRUE
NM_212750	1574	260	2.59785201247903	2.80939602073699	34.8740013905637	1.8428158055023e-266	3.92049741384065e-266	6.89196185186538e-268	TRUE
NM_001326390	361	377	-0.0625656863814932	0.148978321876463	1.40436240481656	0.160210960008619	0.164182116487998	0.00288620744806284	FALSE
NM_001006027	165	140	0.23703919730085	0.448583205558806	2.71418675965758	0.00664386990483716	0.00698820405712	0.000122847768256886	FALSE
NM_205549	3468	325	3.41559227530602	3.62713628356397	58.002843289781	0	0	0	TRUE
NM_001328499	1555	421	1.88502244195157	2.09656645020953	29.2688900205282	2.58197732151326e-188	5.00286203590947e-188	8.79468359803261e-190	TRUE
NM_131098	689666	254	11.4068536324461	11.6183976407041	656.029765222443	0	0	0	TRUE
NM_001002153	267	241	0.147806595457593	0.359350603715549	2.80895186740483	0.00497030769942361	0.00523450228849391	9.20189105556911e-05	FALSE
NM_001126458	2362	480	2.29890265378864	2.5104466620466	40.2046311286849	0	0	0	TRUE
NM_001126480	3628	409	3.14900170758677	3.36054571584473	57.5641950548012	0	0	0	TRUE
NM_001278842	676	473	0.515183062942789	0.726727071200745	8.48139926747544	2.2250165229251e-17	2.76553151965206e-17	4.86161211745362e-19	TRUE
NM_175082	8740	263	5.05449857509566	5.26604258335361	100.634407880605	0	0	0	TRUE
NM_001002493	505	186	1.44098076653113	1.65252477478908	14.1985163140806	9.35725875233092e-46	1.36059269793801e-45	2.39182735767429e-47	TRUE
NM_131806	356	180	0.983880334636724	1.19542434289468	9.33461828035007	1.01355807457267e-20	1.29225267594458e-20	2.27169035085683e-22	TRUE
NM_001114563	10073	283	5.15354755596602	5.36509156422398	108.195448822455	0	0	0	TRUE
NM_001109839	22932	473	5.59937819035922	5.81092219861717	163.669690832972	0	0	0	TRUE
NM_001001843	2683	380	2.81977573092957	3.03131973918753	47.274565989345	0	0	0	TRUE
NM_001327921	227	227	0	0.211544008257956	1.56425470052918	0.117757765772152	0.1210575214874	0.00212810705352615	FALSE
NM_001002358	2543	250	3.34653146202802	3.55807547028598	49.3095719639506	0	0	0	TRUE
NM_131708	167	136	0.296241451223713	0.507785459481669	3.05941101900874	0.00221772656639816	0.00234913306636639	4.12961258976888e-05	FALSE
NM_001020515	886	642	0.464733401432715	0.676277409690672	9.1151013482043	7.85969774513628e-20	9.94772094479669e-20	1.74874017318578e-21	TRUE
NM_200087	29474	469	5.97371113301215	6.18525514127011	185.100901369305	0	0	0	TRUE
NM_001328385	30770	1135	4.76076024104263	4.97230424930058	187.602688075702	0	0	0	TRUE
NM_001328506	460	468	-0.0248746686390291	0.186669339618927	1.97341308394805	0.0484485181431619	0.0501886208427417	0.00088228105705357	FALSE
NM_201015	474	356	0.41300981793186	0.624553826189816	6.21256558340835	5.21264127331895e-10	6.0535360956519e-10	1.06416955391515e-11	TRUE
NM_001114883	417	283	0.55924533061278	0.770789338870737	7.01148921753072	2.35794667310878e-12	2.79694616030331e-12	4.91683687138258e-14	TRUE
NM_001305662	92580	513	7.4955979265722	7.70714193483016	314.017372126221	0	0	0	TRUE
NM_213184	5155	229	4.49255292415853	4.70409693241648	76.1004327583031	0	0	0	TRUE
NM_181758	121501	215	9.1424158126628	9.35395982092076	328.20837407558	0	0	0	TRUE
NM_001020596	254	137	0.890652603811639	1.1021966120696	7.38824699915246	1.48777182883103e-13	1.78602166506739e-13	3.1397019007828e-15	TRUE
NM_001080990	7045	946	2.89668761785761	3.10823162611556	77.5091546947887	0	0	0	TRUE
NM_001012387	438	315	0.475579041213894	0.68712304947185	6.49942093504768	8.06297635699748e-11	9.43754809986365e-11	1.65905533440172e-12	TRUE
NM_131085	1728	778	1.15126115717728	1.36280516543523	22.7750593421133	8.10309100896228e-115	1.40330277958348e-114	2.46690871147176e-116	TRUE
NM_001114845	3354	413	3.0216690021449	3.23321301040286	54.4386727507068	0	0	0	TRUE
NM_001130599	1276	814	0.648527629498622	0.860071637756578	13.4756009823629	2.17705446851623e-41	3.11667939242772e-41	5.47890566163242e-43	TRUE
NM_001142774	2262	373	2.60035139373458	2.81189540199254	41.8257895160664	0	0	0	TRUE
