	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_sphere	NAI_shield
NM_212847	1.53264595759	2.08908291795	3.06012108283	3.95399086015	4.50001093768	4.884723635519999	1.70211624802	2.64700765755	3.2438986224599997	4.45596241149	4.860931100619999	4.691892095969999
NM_212844	4.03819085267	2.48899649847	1.58689824115	1.23249138403	1.01874420795	2.12125092021	3.93503654477	2.1625439848299997	1.45928585986	1.2415191139700001	1.16731751711	1.58543176967
NM_212845	0.180775452701	0.238466171345	0.30369869193000004	0.221445448722	0.275662732988	1.0261986084799999	0.152776811681	0.204182769325	0.268754301386	0.21020001556899998	0.227186055737	0.779105349784
NM_001004627	5.41127500926	4.6845894677599995	5.74729079546	6.46349496949	5.71298305532	5.3420154352900004	5.53062293148	5.37105770923	5.6738574661	6.25789479526	5.76332039074	5.030745509080001
NM_212849	5.60140890394	5.51886698446	5.29944350245	5.17502893292	6.126721711290001	2.39540218639	5.298145109719999	5.654554803200001	5.2238023687599995	4.979343587869999	5.74116396403	3.09842592165
NM_205638	6.661828355619999	6.49794348381	6.32110502108	5.934037876900001	6.13644321171	5.07919911789	6.589756702840001	6.597251254319999	6.39878583416	5.842970538080001	5.85888683615	5.21410062256
NM_001159988	3.21407673804	3.1549496562700003	3.58960990477	4.797546322330001	4.765236670919999	4.8413155124900005	3.39407326569	3.25463998887	4.29325350603	5.23610625176	5.19071037676	4.95932768569
NM_001159983	6.76298582935	6.75508137151	5.48947923974	5.18763349012	3.90803647209	2.50097255488	6.875983200369999	5.81447299403	5.76367385896	5.13041997791	3.72712467172	1.90529014186
NM_001159985	2.35844875142	2.4096228993	2.58346019362	2.6734381561	2.78426290486	2.8583835125599997	2.12760006591	2.5264575270700003	2.70409821862	2.60045768322	2.7280199511500003	2.69063150209
NM_001197257	5.868055137330001	6.094240581649999	5.44940470742	5.2207412241	4.81359207987	4.502953183580001	5.7742117231	5.78759213064	5.49899522733	5.26517774029	5.08112617911	4.5269330052
NM_001198743	4.66624201033	4.60979012315	4.59145437727	4.58074507241	3.6888949441199994	5.18074009536	4.5561645841	4.10235553212	4.2874920232	4.12993079499	3.19746447406	4.01931306383
NM_001198741	1.6461961783899999	1.9438407940200002	2.60120466257	2.8350842746	2.2827767085099997	2.1530452504700004	1.67542784074	2.2516255618	2.5015564322999997	2.70864502839	2.14826011963	1.78740836876
NM_001198745	0.886990827431	0.584894609883	0.674283360097	0.6786193893260001	0.49063398018200005	0.8217368353360001	1.09563621354	0.689283017826	0.8105976033490001	0.993307731714	0.93341483721	1.33348359634
NM_001198749	4.41827425857	4.43180850343	4.41488355944	4.1939206232699995	3.7983411874699997	1.95221281565	4.29560628134	4.07005682245	4.00007263007	3.47204925431	3.46072294036	2.0324985905
NM_001164240	5.6390669858899996	5.668752553130001	5.73449365827	5.768163700140001	5.83379583674	6.05557644472	5.424765183890001	5.383195407490001	5.75594826464	5.86875932179	5.58316671239	5.98255828647
NM_001164241	1.9954435638699999	1.59828884886	2.47517215479	3.17818003902	1.83455217449	3.53377068172	2.24750469441	2.02583924307	2.4708680392099995	3.27249104319	1.9851378950099998	3.0237354025200003
NM_200772	1.60692346284	1.19628258941	1.89562591545	2.7623856924699997	2.9141672208599996	3.7905146946699997	1.64078650675	1.7243318994299999	2.20268987947	3.09349327017	3.9108996145	3.91201004201
NM_200771	6.76327824132	7.20097678285	8.08956449958	8.37232966965	8.222126687889999	6.39888006337	6.959925587000001	7.939604313230001	8.225072156	8.599613025950001	8.35303497005	6.8383046398500005
NM_200777	4.84802659887	4.5355444909500005	4.34432609936	4.174673444780001	3.8065809588599997	3.45630883699	4.007021401549999	3.71819966572	3.6727719114	3.4624018290800005	2.95121978231	2.99798342829
NM_200776	6.05382718918	5.88969711743	5.737942006080001	5.667812415	5.73166332864	5.70367250681	6.11217005788	6.1042970127	6.374950631109999	6.070354043639999	6.16200866295	6.48479594707
NM_200775	1.25322364439	1.2752100207500001	1.9216482273299997	3.1222432756700003	3.4096887334	5.73312587868	1.20623334845	1.47454735651	2.09473899392	3.55019211998	4.08905625087	5.331929290380001
NM_200774	7.55278957726	7.31035389897	7.07019263749	6.91096997997	7.014458651980001	5.469789609219999	7.49766657147	7.49587734995	7.332759618330001	7.1295284916799995	7.09573502008	5.84424145934
NM_001098781	2.1422689409999998	1.8650587221900001	2.45996801926	2.3285727701599996	2.73322788701	2.22535326899	2.00495189352	2.13613272152	2.46429521164	2.52139478715	2.70613652634	2.53497181502
NM_001142586	2.27642362991	1.91279350415	2.85257143667	3.7753481518900003	3.30980557137	3.54374644578	2.21402214498	2.40700054023	2.8441990395200003	3.3901284493599997	3.9694073332699995	3.6307823714599996
NM_200779	1.5096856837900001	1.3681520328499999	2.4980362030900003	3.5134969885800005	4.62670755259	3.6865661384500004	1.71182354833	1.7551928695200003	2.8138625818700005	3.7939974084800006	4.60466445525	3.9414650361300003
NM_199219	1.87867793148	2.41009309158	3.80604236714	4.43008927385	5.0525870286500005	6.169395227100001	2.07035756736	3.36491521125	3.9047360011900003	4.79358534514	5.35714456769	5.9568338571
NM_199218	5.36172573395	5.36971319546	5.8631144151	6.625998425140001	7.25707876214	6.8357615974	5.465975116259999	5.476868168609999	6.28267554162	7.14449703868	7.760364398019999	7.51948504517
NM_199749	4.46391138966	4.0035248894499995	6.118758602130001	6.85581139431	6.729805722869999	8.012046186989998	4.60806204638	5.1789239968	6.08552589145	6.56681077499	6.38262775673	7.6213624369
NM_199748	6.775914416880001	6.613159624319999	6.200710206469999	5.8267687623699995	5.6874365208899995	5.08781857995	6.639101419169999	6.2247147493599995	5.56854397608	4.95884739796	5.37248633648	4.92477594878
