	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_1K	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_1K	NAI_sphere	NAI_shield
NM_212847	1.53264595759	2.08908291795	3.06012108283	3.95399086015	4.26158029753	4.50001093768	4.88472363552	1.70211624802	2.64700765755	3.24389862246	4.45596241149	4.93527346213	4.86093110062	4.69189209597
NM_212844	4.03819085267	2.48899649847	1.58689824115	1.23249138403	1.35129380386	1.01874420795	2.12125092021	3.93503654477	2.16254398483	1.45928585986	1.24151911397	1.1432164529	1.16731751711	1.58543176967
NM_212845	0.180775452701	0.238466171345	0.30369869193	0.221445448722	0.244282329624	0.275662732988	1.02619860848	0.152776811681	0.204182769325	0.268754301386	0.210200015569	0.200392228855	0.227186055737	0.779105349784
NM_001004627	5.41127500926	4.68458946776	5.74729079546	6.46349496949	5.8402025181	5.71298305532	5.34201543529	5.53062293148	5.37105770923	5.6738574661	6.25789479526	6.08538899084	5.76332039074	5.03074550908
NM_212849	5.60140890394	5.51886698446	5.29944350245	5.17502893292	5.70658896502	6.12672171129	2.39540218639	5.29814510972	5.6545548032	5.22380236876	4.97934358787	5.68296435015	5.74116396403	3.09842592165
NM_205638	6.66182835562	6.49794348381	6.32110502108	5.9340378769	5.88475114728	6.13644321171	5.07919911789	6.58975670284	6.59725125432	6.39878583416	5.84297053808	5.92973270793	5.85888683615	5.21410062256
NM_001159988	3.21407673804	3.15494965627	3.58960990477	4.79754632233	4.82083929273	4.76523667092	4.84131551249	3.39407326569	3.25463998887	4.29325350603	5.23610625176	5.3306448471	5.19071037676	4.95932768569
NM_001159983	6.76298582935	6.75508137151	5.48947923974	5.18763349012	4.08346427964	3.90803647209	2.50097255488	6.87598320037	5.81447299403	5.76367385896	5.13041997791	4.56004867553	3.72712467172	1.90529014186
NM_001159985	2.35844875142	2.4096228993	2.58346019362	2.6734381561	2.76664990732	2.78426290486	2.85838351256	2.12760006591	2.52645752707	2.70409821862	2.60045768322	2.75433027323	2.72801995115	2.69063150209
NM_001197257	5.86805513733	6.09424058165	5.44940470742	5.2207412241	4.6908617921	4.81359207987	4.50295318358	5.7742117231	5.78759213064	5.49899522733	5.26517774029	5.39071763072	5.08112617911	4.5269330052
NM_001198743	4.66624201033	4.60979012315	4.59145437727	4.58074507241	4.05017909785	3.68889494412	5.18074009536	4.5561645841	4.10235553212	4.2874920232	4.12993079499	3.53137996667	3.19746447406	4.01931306383
NM_001198741	1.64619617839	1.94384079402	2.60120466257	2.8350842746	2.32310013581	2.28277670851	2.15304525047	1.67542784074	2.2516255618	2.5015564323	2.70864502839	2.43942099711	2.14826011963	1.78740836876
NM_001198745	0.886990827431	0.584894609883	0.674283360097	0.678619389326	0.744611348478	0.490633980182	0.821736835336	1.09563621354	0.689283017826	0.810597603349	0.993307731714	1.19155689724	0.93341483721	1.33348359634
NM_001198749	4.41827425857	4.43180850343	4.41488355944	4.19392062327	3.9088728414	3.79834118747	1.95221281565	4.29560628134	4.07005682245	4.00007263007	3.47204925431	3.43220435099	3.46072294036	2.0324985905
NM_001164240	5.63906698589	5.66875255313	5.73449365827	5.76816370014	5.86367904156	5.83379583674	6.05557644472	5.42476518389	5.38319540749	5.75594826464	5.86875932179	5.6859362882	5.58316671239	5.98255828647
NM_001164241	1.99544356387	1.59828884886	2.47517215479	3.17818003902	2.37995027279	1.83455217449	3.53377068172	2.24750469441	2.02583924307	2.47086803921	3.27249104319	2.35564287416	1.98513789501	3.02373540252
NM_200772	1.60692346284	1.19628258941	1.89562591545	2.76238569247	3.09781151189	2.91416722086	3.79051469467	1.64078650675	1.72433189943	2.20268987947	3.09349327017	3.38577673113	3.9108996145	3.91201004201
NM_200771	6.76327824132	7.20097678285	8.08956449958	8.37232966965	8.27773100878	8.22212668789	6.39888006337	6.959925587	7.93960431323	8.225072156	8.59961302595	8.27092043938	8.35303497005	6.83830463985
NM_200777	4.84802659887	4.53554449095	4.34432609936	4.17467344478	3.78021760804	3.80658095886	3.45630883699	4.00702140155	3.71819966572	3.6727719114	3.46240182908	3.41440680013	2.95121978231	2.99798342829
NM_200776	6.05382718918	5.88969711743	5.73794200608	5.667812415	5.82674468423	5.73166332864	5.70367250681	6.11217005788	6.1042970127	6.37495063111	6.07035404364	6.01581256599	6.16200866295	6.48479594707
NM_200775	1.25322364439	1.27521002075	1.92164822733	3.12224327567	3.88272929978	3.4096887334	5.73312587868	1.20623334845	1.47454735651	2.09473899392	3.55019211998	3.83963462958	4.08905625087	5.33192929038
NM_200774	7.55278957726	7.31035389897	7.07019263749	6.91096997997	6.81560937861	7.01445865198	5.46978960922	7.49766657147	7.49587734995	7.33275961833	7.12952849168	7.2158817367	7.09573502008	5.84424145934
NM_001098781	2.142268941	1.86505872219	2.45996801926	2.32857277016	2.68824126739	2.73322788701	2.22535326899	2.00495189352	2.13613272152	2.46429521164	2.52139478715	2.70765225577	2.70613652634	2.53497181502
NM_001142586	2.27642362991	1.91279350415	2.85257143667	3.77534815189	3.42618935409	3.30980557137	3.54374644578	2.21402214498	2.40700054023	2.84419903952	3.39012844936	3.70230098004	3.96940733327	3.63078237146
NM_200779	1.50968568379	1.36815203285	2.49803620309	3.51349698858	4.32594434596	4.62670755259	3.68656613845	1.71182354833	1.75519286952	2.81386258187	3.79399740848	4.30611087215	4.60466445525	3.94146503613
NM_199219	1.87867793148	2.41009309158	3.80604236714	4.43008927385	5.24282391923	5.05258702865	6.1693952271	2.07035756736	3.36491521125	3.90473600119	4.79358534514	5.05747820835	5.35714456769	5.9568338571
NM_199218	5.36172573395	5.36971319546	5.8631144151	6.62599842514	7.06616099489	7.25707876214	6.8357615974	5.46597511626	5.47686816861	6.28267554162	7.14449703868	7.60799572626	7.76036439802	7.51948504517
NM_199749	4.46391138966	4.00352488945	6.11875860213	6.85581139431	7.08678930254	6.72980572287	8.01204618699	4.60806204638	5.1789239968	6.08552589145	6.56681077499	6.27991899048	6.38262775673	7.6213624369
NM_199748	6.77591441688	6.61315962432	6.20071020647	5.82676876237	5.82060116141	5.68743652089	5.08781857995	6.63910141917	6.22471474936	5.56854397608	4.95884739796	5.09999373558	5.37248633648	4.92477594878
NM_199745	5.09778690616	4.06685675845	4.64239784182	4.85108207648	4.3497729946	3.95960871392	5.09308709077	4.95579800836	4.36011126874	4.60611894065	4.27211502168	4.11697553417	3.5504979394	4.4730395706
NM_199744	4.03486495327	4.15211469172	4.9388317755	5.23817300065	5.48851643833	5.39620050389	6.34379108868	4.18886029	4.89222311525	5.19492537457	5.35150302049	5.25313913082	5.26764320266	6.30746082064
NM_199211	4.69753075526	5.6693749798	5.79907614007	5.69718641374	5.86104811314	5.76509903139	7.26141757599	4.84579174268	5.7159436286	5.9398931964	5.87288418707	5.52494440485	5.73029668342	7.02662382538
NM_199746	8.09866357721	8.2077633447	8.04452145216	7.53883871732	7.78601519642	7.56886828215	8.35614233519	8.18279768459	8.17466033737	7.85349402257	7.2981329484	7.01883555207	7.32641190067	8.12714014124
NM_199741	3.36103387584	3.95658186575	5.99056910835	6.91123424867	6.6821180559	6.46234545549	5.69553881744	3.6674338981	5.21539523958	6.19644266195	7.23021381059	6.84661010591	6.62899258053	5.56485138343
NM_199740	5.28999126647	5.47643553184	6.90569483998	7.15355985924	7.1342409751	7.1594517543	6.76066900507	5.32291090808	6.62833856413	6.78565637895	7.23548908199	7.14824677465	7.08396810365	6.72596117896
NM_199743	7.06637776607	6.60713872631	6.28663455877	5.68167356055	4.41688272488	4.52193850032	1.66106870931	6.97678197703	6.27015992313	6.10004356561	5.57274590729	4.86989428088	4.29605659057	1.74792422404
NM_199742	6.27831981609	6.54368884298	6.64488717506	6.17496305394	6.29295765113	6.18608028282	6.37783494593	6.4240996605	6.6044725834	6.50884096161	5.79156647518	5.69416646177	5.72713594838	5.99924807664
NM_001089554	5.22730810314	4.56636436292	3.94918588636	4.71875557558	4.782528482	4.87012986892	5.37461424506	4.76523579965	4.17588699608	4.09453901058	4.27461678325	4.00442880243	5.0314171809	5.04596965073
NM_001089550	4.01771734281	4.35375518587	4.08818948353	4.17095549188	3.96290654339	3.84015005555	1.70017961543	3.95983333296	3.82405286603	4.15968251882	4.20401566206	3.66533299831	3.70831311402	2.16995105584
NM_001130643	4.85799862425	5.23990927472	4.50369632995	4.23291039726	4.73551809659	5.04866405828	2.75660620924	4.77366471255	5.05588278735	4.46776266252	4.46156761654	4.83401100593	5.03082167945	3.53456867183
NM_001320414	0.247966488735	0.216166130859	0.247795716827	0.471520762607	1.32899418682	0.694243183192	3.7839086417	0.285289720346	0.254518963821	0.526917645147	0.780464510109	0.593509913857	1.03264833735	3.3608486073
NM_001130649	0.62792785909	0.705222703975	1.49390963104	2.53209767716	2.45012863343	2.38893080701	1.78628470826	0.560112824992	1.11743035972	1.57520354386	2.7619895616	2.79837061524	2.76895919253	1.89780479856
NM_001130648	2.3136752381	2.3855322465	3.40903532656	4.13885915482	3.43839107185	3.61221674381	0.511416469774	2.18583664813	2.61003362851	3.35210867217	4.29090182561	4.13147008671	3.77785307289	1.05738148251
NM_001002315	4.62328215392	4.96297863116	5.53463554066	5.80198377035	5.76677188662	5.91051625346	4.16116806493	4.52009113116	5.30497213005	5.79461966341	6.03931517984	5.98122750983	5.92924316657	4.58690570645
NM_001002314	0.845565273037	1.46339397711	2.41967375248	2.99001761033	3.80685389369	4.19174191017	3.20341248196	0.688583741956	1.62821997188	2.37715005902	3.10230912211	3.6174726905	4.27477037478	3.04898875324
NM_001002317	7.67289867215	7.2304847967	6.8202061418	6.56367729512	5.71444437124	5.34836932706	6.39552716314	7.59935716152	7.31396052813	6.90095915803	6.97712484722	6.51872994746	5.90548421604	6.30042134648
NM_001002316	2.56970852348	3.38273507282	5.48234982815	6.20345210266	6.06339324282	6.10969860423	4.5981661682	2.76963186673	4.46084185556	5.13726896006	6.11970190268	6.1091402789	5.99224325676	4.71133712146
NM_001002311	2.03509734425	2.12577903063	2.37706537013	2.15681997657	2.05443393023	1.76695829483	1.03898531492	2.07110060034	2.5293296181	2.04448430625	2.0401720963	2.38723459513	1.58971885229	1.40615600052
NM_001002313	2.20663786481	2.50853075759	3.06545185511	2.82396937293	2.41807577701	2.3969888567	2.44085085574	2.0805176761	2.61679788271	2.81486665794	2.85973034328	2.37123456265	2.1046476938	1.88264591454
NM_001002312	3.09324940586	3.23864405533	3.25398340293	3.13466666701	3.21762545115	3.28094451603	2.6449318525	2.88794809306	3.06795109647	3.07675751103	3.1063045678	3.30251375033	3.08034388855	2.39747809311
NM_001002319	4.34908660732	4.74732994125	5.41111079926	5.34061043469	5.41101790211	5.30110825701	3.54129056772	4.5903195923	5.26458213344	5.53891747175	5.55828111029	5.01228470486	5.21102555931	4.14472143645
NM_001002318	4.08987978063	4.41903848442	5.34281042795	5.5784228258	4.98705636933	5.08513902713	1.62455857865	4.18190424792	4.6311435743	5.17211645974	5.54629521561	5.34511587214	5.08537490339	2.0292087245
NM_201578	5.30227888973	5.66570487602	5.95384183114	6.31054447564	6.35919413576	6.54091492052	6.34221176784	5.32894545311	6.10660932651	6.0203412777	6.59166842244	6.61125255038	6.42539161096	6.21351560725
NM_201579	8.89774692407	8.87005943519	8.52502966082	8.10537260255	8.39863075821	8.40071796008	8.96805156575	9.07186164888	9.0339081927	8.59745495517	8.10611000592	8.00974712438	8.25680896768	8.8835227921
NM_201577	6.71096143657	6.28623005773	7.23011635561	7.41816226906	7.21427299709	7.32744349632	6.93539267937	6.58902529816	6.73962049656	7.27635438123	7.46787009853	7.28584654013	7.060210509	7.00853430063
NM_001080173	1.8964701435	2.13319426976	2.09313065562	2.6076832439	2.30478279308	1.87046041438	3.56399673637	1.99110364744	1.85888324033	2.32238440115	2.87755393203	2.64111694218	2.34821709945	3.14606590612
NM_001080171	0.991949733255	1.38205640119	1.79134760185	2.05878627976	2.39250461464	2.45211768031	4.00235858867	0.799054402115	1.73131818707	1.87974460224	2.26594462293	2.20019290145	2.24913912311	3.98243817229
NM_001080170	4.60792121982	4.92110272174	4.74483431524	4.54753185758	4.95796902456	5.18123957958	4.30694178	4.43157087299	4.89915143319	4.74678370538	4.51856154869	4.88248366797	4.99108742266	4.73147694587
