	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
0	NM_212847	8.40967684695	4.95413689931	3.25180675003	3.65482886912	2.58615517262	1.35550447824	1.37080884129	0.438829879484
1	NM_001320078	1.94051082686	0.228630813426	14.029193805	16.3679875191	0.13831948249	0.0139681688515	-2.8539237185	-6.16171328585
2	NM_212849	22.011220932	4.57651781824	44.8543508179	37.0671578882	0.490726552288	0.123465571114	-1.02700875986	-3.01781929848
3	NM_001007124	1.09512590806	1.16124873579	1.67778857054	0.962883475423	0.652719852363	1.20601169864	-0.615464175593	0.270243901842
4	NM_001082993	5.64507379421	5.32081674807	9.06195020166	10.7130662612	0.622942486836	0.496666091513	-0.682829122306	-1.00965184072
5	NM_001309488	16.8359408277	3.57049629784	11.1656832217	13.1280656268	1.50782898757	0.271974287709	0.592472812708	-1.87845782852
6	NM_001082994	10.3563613023	0.385321758835	29.3825922207	47.1638021289	0.352465882673	0.0081698620858	-1.50444447789	-6.93547256
7	NM_001100145	35.8459716521	25.3402151952	31.4166310084	20.2504493579	1.14098713011	1.25134088372	0.190282518685	0.323474854458
8	NM_001018083	13.182736679	25.8864810955	27.8899614333	34.1396505818	0.472669591549	0.758252666748	-1.08109604071	-0.399249428121
9	NM_001100147	22.2940176289	0.788003753621	24.6468672122	13.9677490957	0.904537580251	0.0564159442027	-0.144747652056	-4.14775323688
10	NM_001288658	91.7198891364	33.210001929	46.9599858601	67.0555215707	1.95314984569	0.495261257404	0.965802637061	-1.0137383266
11	NM_001025498	1.65663697228	5.85554463208	55.8953799995	49.7903741424	0.0296381735359	0.117603949216	-5.07639964604	-3.08799158728
12	NM_001045378	41.9728363104	25.1065820054	0.510728642364	0.827307140726	82.1822643745	30.3473532011	6.36075517663	4.92349878962
13	NM_001045373	10.2378674659	26.5369419998	6.53788814301	12.6536623526	1.56592882013	2.09717481472	0.647018635882	1.06844712553
14	NM_001288652	16.3395083373	11.5507165343	44.9309493965	37.075897467	0.36365820346	0.311542466223	-1.45934497367	-1.68249926508
15	NM_001122701	0.669673197973	0.473405020563	0.694444702009	0.449175246568	0.964329047418	1.0539428078	-0.0524025894296	0.0757965812643
16	NM_001083026	2.14198795474	0.50473766151	3.72295049319	4.36036017316	0.575346881098	0.115755956266	-0.797496064484	-3.11084166507
17	NM_001288657	8.13904362304	7.67153117947	221.779398162	244.756001503	0.0366988263585	0.0313435876234	-4.76812226387	-4.99568586796
