	egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_212847	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.621989194094	0.540896280837	0.538564297415	0.536830192458	0.5643592837899999	0.511825366554	0.501084395082	0.509665127681	0.534114774115
NM_212844	NULL	NULL	NULL	0.5351339286860001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001004627	0.491007061222	0.321290127196	0.492883266189	0.472043279167	0.42599793443499995	NULL	0.431866017114	0.385157191597	0.545470145235	0.381658878505	0.553726777412	0.489554165147	0.58255824364	0.42178958225900004	0.590628419542	0.525967578521	0.504276795039	0.193059562736	0.509220267618	0.461419002837	0.491681850109	0.281470678539	0.490388080037	0.507354129475
NM_212849	0.545015973156	NULL	0.545015973156	NULL	0.458879550579	NULL	0.458879550579	NULL	0.540740429638	NULL	0.540740429638	NULL	0.596387822335	NULL	0.596387822335	NULL	0.5188619853859999	NULL	0.5188619853859999	NULL	NULL	NULL	NULL	NULL
NM_205638	0.496041735918	0.453672271031	0.507193163293	0.486583754863	0.44112809598200003	0.409998986436	0.442791652549	0.44588562053099995	0.533247089013	0.487927510085	0.53490135332	0.540561287551	0.587101213545	NULL	0.592541052465	0.585935930668	0.517516732603	0.491749002942	0.5184148831700001	0.523258157413	0.541606370445	0.5053650140820001	0.535897279091	0.559259464591
NM_001159988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.653565573908	NULL	0.661105251298	0.628088522527	0.572591550751	NULL	0.576749588367	0.5530489325060001	0.551682837426	NULL	0.545279677929	0.574044069761
NM_001159983	0.46960379569899996	0.449961942936	0.5315470252750001	0.419840633346	0.427269578395	0.456260525232	0.462801560629	0.381237833938	0.47073693378700004	0.459866025574	0.494772491207	0.45383591358	0.570247605116	0.574854139068	0.6092514352080001	0.5357540851829999	NULL	NULL	NULL	0.491537657406	NULL	NULL	NULL	NULL
NM_001197257	0.528410456414	0.662700426557	0.5411886923100001	0.501317587541	0.449319618802	0.6142421854600001	0.46972386838	0.408179799058	0.530762483339	NULL	0.549213522187	0.51509565797	0.603045257113	NULL	0.617481986699	0.5851325498300001	0.549405687022	0.678675887755	0.548192801658	0.54213100388	0.531919448283	NULL	NULL	0.539271288972
NM_001198743	NULL	NULL	0.470264610308	NULL	NULL	NULL	0.420860948543	NULL	NULL	NULL	0.5075947738859999	NULL	NULL	NULL	0.5992106741759999	NULL	NULL	NULL	0.535696362976	NULL	0.529709687882	NULL	0.468570564639	0.5456275043559999
NM_001198749	NULL	NULL	NULL	0.47202202166100005	NULL	0.479122774779	NULL	0.42361067124799995	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.584393496086	NULL	0.582353840665	NULL	NULL	NULL	NULL	NULL	NULL
NM_001164240	0.507606434043	NULL	0.5133559143850001	0.505699052931	0.450621827126	0.295864836261	0.426050441074	0.460211239654	0.557198893092	NULL	0.559608515312	0.558499286368	0.600444450624	NULL	0.625427226691	0.588997799947	0.5432228635140001	0.31320013043	0.477809902428	0.570086801487	0.530535359881	0.281838995288	0.463225534842	0.5561835594510001
NM_200771	0.49332824861900004	0.5139404015860001	0.5003189517809999	0.48284363227300003	0.426856504194	0.425931775194	0.415923881879	0.429541196273	0.548465085808	0.598381134857	0.557306815947	0.532292605646	0.580184698403	0.606694984507	0.599847016873	0.558480861466	0.508073355481	0.48780232411200003	0.4925071245	0.518564889316	0.49769443709100003	0.479089765112	0.49000830861	0.504211867007
NM_200777	0.528810209344	0.49750319868	0.5456209408380001	NULL	0.48949067716000005	0.488953399386	0.496572321466	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.603071611704	0.606236578221	0.597205938608	NULL	NULL	NULL	NULL	NULL
NM_200776	0.537072109592	0.5842027160719999	0.538032240605	0.500136816554	0.454099641232	0.46663807703000004	0.457564531513	0.429104962636	0.545049444127	0.592468270768	0.542745949029	0.523639091218	0.615836361681	0.651519765554	0.6084887989609999	0.617861327186	0.538733641058	0.558760225371	0.529425995101	0.561338002236	0.516975435527	0.538743387171	0.508612778158	0.532775033112
NM_200775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.46839518219	0.472430840695	0.453968245713	0.483105580787
NM_200774	0.51652886529	0.446414635206	0.507612513599	0.579815239776	0.45093027606200003	0.304748485458	0.43999450118600003	0.517149330621	0.554274633331	0.49541316526600004	0.542376340584	0.638422470486	0.605431828817	0.494147621144	0.599035150766	0.667351524496	0.508939751863	0.374079598169	0.492057817764	0.622127848101	0.509731942508	NULL	0.49357309169299995	0.6308804204990001
NM_200779	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.565207972219	NULL	0.567188655852	0.567727781004	NULL	NULL	NULL	NULL
NM_199219	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.542339001946	NULL	0.536250467721	NULL	0.5127003891040001	NULL	0.5048137825	0.525947023296
