Symbol,CLI,#_AUUUY,#_WUUUA,#_YUUUA,#_UUUUU,#Motifs,5UTR,3UTR,CDS,Intron,Total_Binding_Sites,Binding_Site_Bins
ERC1,1035.433122,186,175,165,150,526,0,2,0,246,248,>8 Sites
DIAPH3,857.964837,222,189,178,160,589,0,4,1,238,243,>8 Sites
RNGTT,507.9992249,124,117,105,98,346,0,1,0,151,152,>8 Sites
CDKAL1,500.970209,139,139,143,105,421,0,4,0,148,152,>8 Sites
LRP1B,500.6372108,140,144,124,104,408,0,0,0,152,152,>8 Sites
AKT3,546.8762631,112,115,99,89,326,0,7,0,140,147,>8 Sites
DNAH14,544.3143046,152,153,125,89,430,0,1,1,145,147,>8 Sites
ROBO1,475.2756767,125,107,92,81,324,0,4,0,135,139,>8 Sites
NIPBL,492.2003826,105,113,101,76,319,0,3,0,132,135,>8 Sites
FAF1,467.7495323,116,124,115,105,355,0,1,0,134,135,>8 Sites
RSRC1,446.1318251,129,127,112,85,368,0,4,0,130,134,>8 Sites
MED13L,459.8589212,108,114,117,76,339,0,5,0,125,130,>8 Sites
GPHN,429.2985954,133,115,110,98,358,0,0,0,126,126,>8 Sites
ATRX,428.3673593,119,103,83,64,305,0,1,0,122,123,>8 Sites
TTC28,423.690198,112,114,98,71,324,0,2,0,118,120,>8 Sites
JMJD1C,393.5962373,114,98,93,68,305,0,0,2,118,120,>8 Sites
DLG1,385.6016578,104,94,91,75,289,1,8,0,107,116,>8 Sites
ASCC3,383.0557185,103,94,90,73,287,0,0,0,113,113,>8 Sites
SLIT2,392.2820606,103,105,101,72,309,0,0,0,112,112,>8 Sites
BRIP1,404.9462439,90,110,90,60,290,0,0,1,110,111,>8 Sites
ATF7IP,443.6384789,103,96,88,70,287,0,0,0,110,110,>8 Sites
ZNF407,351.0160639,103,91,79,70,273,0,1,0,105,106,>8 Sites
TAS2R14,396.985431,97,81,65,63,243,0,0,1,104,105,>8 Sites
CCDC91,354.5235094,91,94,85,79,270,0,4,0,100,104,>8 Sites
POLA1,377.5321637,95,91,80,60,266,0,1,0,102,103,>8 Sites
ZNF644,414.1203212,80,80,75,64,235,0,5,3,95,103,>8 Sites
CDC42BPA,343.8907287,83,83,68,45,234,1,1,1,100,103,>8 Sites
ANKRD17,390.7602561,84,71,67,57,222,0,3,0,99,102,>8 Sites
