#transcript	length	unique_read_num	multiple_read_num
ENSDART00000117596	1683	11623294	0
ENSDART00000172018	1875	2265663	0
NM_131263	1753	1319023	4
NM_213168	2419	968590	8
NM_001281721	1433	550940	6
ENSDART00000151198	890	322370	8
NM_212996	717	250739	6
NM_001040321	1659	439068	18
NM_001110403	2335	467394	0
NM_001037424	1074	213155	4
NM_130925	1985	389652	2
NM_001126457	1515	288777	10
NM_181601	1767	334045	18
NM_001008615	943	177489	14
NM_212584	1391	251753	4
NM_213302	1639	284172	16
NM_200080	2167	342472	10
NM_131098	1330	209243	6
NM_212587	1840	286309	18
NM_213223	1558	239903	4
NM_001017797	1307	190260	12
NM_001309644	1435	204532	14
NM_131031	1672	231142	14
NM_178437	1742	235555	6
ENSDART00000139791	742	88338	6
NM_131509	2480	293200	8
NM_173247	1264	146175	6
NM_200104	1558	177650	12
NM_198140	1041	118497	10
NM_001076652	2835	314431	14
NM_201101	887	97074	20
NM_200458	2810	297486	16
NM_199428	1597	168695	18
NM_212603	1499	152832	16
NM_001098730	1026	102537	4
NM_213277	2437	226590	28
NM_212758	782	69026	4
NM_001043323	817	70867	10
NM_131156	2379	201746	10
NM_131069	2357	198517	20
NM_194367	1521	126071	20
NM_131585	1058	87334	22
NM_001105108	1254	102959	18
NM_131310	2699	219370	24
NM_001004674	895	70939	4
NM_001077804	1835	143258	18
NM_001130192	3149	244197	44
NM_201584	658	48705	16
NM_001309525	2542	181396	28
NM_201468	1862	131471	24
NM_201475	1685	116118	26
NM_205667	963	66132	6
NM_001005967	904	61805	24
NM_200026	515	34519	20
ENSDART00000119029	156	10424	10
NM_001045488	538	35606	4
NM_212977	1620	106958	34
NM_200047	832	52877	14
NM_131404	1466	92131	28
NM_213317	2315	143430	62
NM_001031676	2397	146267	14
NM_131309	1418	85205	50
NM_214696	2658	159288	28
NM_001017593	1279	75793	28
NM_131883	2454	144559	34
NM_001040043	498	28939	8
NM_200852	722	41679	20
NM_200732	483	27810	12
NM_213236	1566	90146	18
NM_001002378	887	50816	34
NM_200752	630	36011	18
NM_001033595	4350	246869	72
NM_131059	3350	186425	44
NM_131112	2386	132062	34
NM_213641	1708	94223	60
NM_213377	570	31108	22
NM_212630	2077	112451	30
NM_200029	495	26299	16
NM_001001593	537	28184	30
NM_131444	1040	54111	24
NM_200815	451	23248	18
NM_213124	1505	77460	16
NM_213092	1589	80796	26
NM_001045402	900	45608	16
NM_199986	1703	86177	26
NM_001079973	1842	92828	34
NM_001005999	1423	71275	38
NM_001243178	360	17999	16
NM_212953	298	14871	12
NM_214793	694	34602	18
NM_200027	727	36226	16
NM_131335	1226	60598	22
NM_199481	1939	95555	28
NM_214714	2273	111838	26
NM_001002078	399	19606	20
NM_213204	482	23549	16
NM_200046	629	30484	40
NM_153644	800	38748	26
NM_001004601	3178	153579	52
NM_001002079	503	24257	24
ENSDART00000173071	931	44915	6
NM_213278	2414	116314	62
NM_001013345	888	42651	20
NM_201579	1950	93389	34
NM_001003844	919	43560	34
NM_001002069	344	16289	10
NM_201052	1066	50379	26
NM_001002139	610	28831	10
NM_213336	1459	68417	46
NM_200028	466	21826	12
NM_001003432	636	29705	18
NM_001002677	1296	60362	26
NM_213279	889	41187	20
NM_001003728	818	37894	14
NM_200303	785	36290	14
NM_001281788	6521	300098	90
NM_200502	613	28052	20
NM_198143	657	29920	14
NM_001002081	568	25854	10
NM_201060	620	28197	12
NM_199708	2037	92334	40
NM_200867	1249	56546	28
NM_001305588	928	41917	32
NM_001005589	851	38113	18
NM_001002486	304	13478	10
NM_001037410	1566	69403	32
NM_001017700	639	27917	10
NM_001100436	441	19243	30
NM_198817	3168	137576	36
NM_001328342	1608	69507	30
NM_001015060	2812	120636	38
NM_213002	1422	60842	24
NM_200495	1495	63880	66
NM_213113	524	22348	42
NM_198366	2668	113033	64
ENSDART00000163316	7477	315402	212
NM_001002866	472	19882	10
NM_213015	1944	81277	64
NM_001110121	508	21137	30
NM_001024409	1233	51345	24
NM_131580	1081	44783	28
ENSDART00000133863	736	30412	14
NM_001003447	678	27955	30
NM_213024	785	32045	32
ENSDART00000115891	952	38834	28
NM_200713	813	33008	20
NM_214722	3146	127413	58
NM_173232	700	28306	24
NM_205673	1403	56444	28
NM_213107	1258	50499	18
NM_201217	2259	90600	48
NM_001044324	3798	151367	64
NM_199724	483	19227	14
NM_001002106	1038	41060	24
NM_173234	483	19039	30
NM_213235	2369	93017	44
NM_201323	1231	48127	22
NM_200750	463	17960	32
NM_173235	635	24532	12
NM_212762	435	16686	12
NM_001128697	1112	42299	44
NM_200185	1558	59194	28
NM_001002155	566	21487	18
NM_131513	1495	56088	36
NM_201191	379	14188	16
NM_001001819	490	18337	20
NM_212784	763	28534	24
NM_213034	513	19103	38
NM_131025	4186	155576	78
NM_199956	2049	75760	36
NM_200720	900	33073	28
NM_001105526	393	14354	4
NM_201153	832	30300	24
NM_213382	1769	64148	72
NM_173233	520	18762	22
NM_173236	2213	78951	58
NM_213644	826	29392	24
NM_213466	1532	54461	40
NM_001271817	931	32941	48
NM_199749	1558	55097	56
NM_173251	890	31460	20
NM_201078	1493	52730	44
NM_200881	1996	70245	64
NM_200845	453	15906	20
NM_131176	1454	50789	22
NM_001002499	530	18509	6
NM_201061	504	17445	22
NM_200416	1414	48808	44
NM_001002487	411	14074	8
NM_001130697	679	22991	16
