Gene name	Human gene name
si:ch73-185c24.2	
si:dkey-251i10.2	
guca1e	GUCA1A
sri	SRI
crygm2a	CRYGD
crygm2a	CRYGB
crygm2a	CRYGC
crygm2a	CRYGA
ptgdsb.1	PTGDS
ptgdsb.1	LCN15
ptgdsb.1	AL807752.7
ptgdsb.1	LCN6
ptgdsb.1	LCN8
ptgdsb.1	LCN12
ptgdsb.1	AL355987.1
ptgdsb.1	LCNL1
ptgdsb.1	LCN10
ptgdsb.1	LCN2
hacd2	HACD2
ammecr1	AMMECR1
hpgd	HPGD
ghrb	IL2RG
ghrb	AL590764.2
ghrb	IL6R
ghrb	CRLF2
ghrb	OSMR
ghrb	IL13RA1
ghrb	IL3RA
ghrb	IL12RB1
ghrb	IL23R
ghrb	IL27RA
ghrb	IL11RA
ghrb	AL162231.3
ghrb	GHR
czib	CZIB
si:dkey-174m14.3	
vamp8	VAMP8
camk1gb	CAMK1G
si:dkey-28b4.7	POLD4
si:dkey-28b4.7	AP003419.1
nkd3	NKD2
rpl29	RPL29
rpl29	RPL29
lrfn1	LRFN1
aldh3a2a	ALDH3A1
aldh3a2a	ALDH1B1
aldh3a2a	ALDH3B1
crygm2d13	CRYGD
crygm2d13	CRYGB
crygm2d13	CRYGC
crygm2d13	CRYGA
drap1	DRAP1
ccnt2b	
b4galt7	B4GALT7
olfcg2	
dnajc11a	DNAJC11
hsf4	HSF4
otud6b	OTUD6B
cuedc2	CUEDC2
mpc1	MPC1
sugt1	SUGT1
hrc	TRPM4
tspan18b	TSPAN18
ndufs7	NDUFS7
zgc:114123	
ndufa4l	NDUFA4
cadm3	CADM3
slc35a1	SLC35A1
fgfr1op2	FGFR1OP2
zgc:63470	C11orf68
hmgcl	HMGCL
cdc73	CDC73
scn8aa	SCN8A
galk1	GALK1
zc3h10	ZC3H10
tbc1d16	TBC1D16
tll1	TLL1
brd7	
cdc73	CDC73
crygm2d11	CRYGD
crygm2d11	CRYGB
crygm2d11	CRYGC
crygm2d11	CRYGA
nt5c3a	NT5C3A
crp6	
mxb	MX2
mei4	MEI4
pex13	PEX13
fbn2b	FBN3
ints14	INTS14
vamp1	
ugt2a6	
slc16a4	SLC16A4
wt1a	WT1
nt5c2b	
SMIM22	SMIM22
si:dkey-4c15.14	
surf6	SURF6
irf2	IRF2
si:ch1073-340i21.3	
glmp	GLMP
stc2a	STC2
uchl1	UCHL1
znf277	ZNF277
tagln2	
exoc2	EXOC2
