	egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_212847	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.23946666666666666	0.2711851360318513	0.27284363636363634	0.26558230088495577	0.3287843137254902	0.2913381962864721	0.3311202749140893	0.2788012589928057	0.31385714285714283
NM_212844	NULL	NULL	NULL	0.26193900184842883	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001004627	0.3011527883880825	0.57785	0.28992919580419585	0.3515379310344828	0.3574265734265734	NULL	0.3501454545454545	0.3871310344827586	0.27127919566898684	0.5136000000000001	0.2626312056737589	0.30513103448275863	0.2498892284186402	0.4847499999999999	0.2429458041958042	0.2722758620689655	0.2995951107715813	0.7798499999999999	0.2889090909090909	0.3176620689655172	0.31469601837672284	0.6514	0.3101884312007011	0.3037241379310345
NM_212849	0.27600478468899525	NULL	0.27600478468899525	NULL	0.32554594594594594	NULL	0.32554594594594594	NULL	0.27826718047527305	NULL	0.27826718047527305	NULL	0.25151483949121745	NULL	0.25151483949121745	NULL	0.2904889277389277	NULL	0.2904889277389277	NULL	NULL	NULL	NULL	NULL
NM_205638	0.3026101571063208	0.35000375939849626	0.2935715174129353	0.3048435689455388	0.347226394458622	0.3995330882352941	0.3431125621890547	0.3384055619930475	0.2802676056338028	0.28719672131147544	0.28945254556882466	0.26137543453070683	0.24557708412637996	NULL	0.2403215174129353	0.2517427578215527	0.2885515858549034	0.31879044117647065	0.28755659203980105	0.2808748551564311	0.2716362166531932	0.302243119266055	0.2707142857142857	0.2653928157589803
NM_001159988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1957349177330896	NULL	0.1921952380952381	0.2074409448818897	0.2593997050147493	NULL	0.25825771324863883	0.2643543307086614	0.25941368078175897	NULL	0.2595852156057495	0.25875590551181105
NM_001159983	0.3193252496433666	0.39832885906040266	0.2796382978723404	0.3116119873817035	0.32672050561797755	0.33401875000000003	0.32474042553191496	0.3245047318611987	0.329781976744186	0.3161549295774647	0.3465764192139737	0.3237539432176656	0.2610188953488372	0.2762205882352941	0.24954468085106385	0.2630031545741325	NULL	NULL	NULL	0.26017741935483873	NULL	NULL	NULL	NULL
NM_001197257	0.2799197934595525	0.23143037974683536	0.2675012254901961	0.30010217755443885	0.3326806462701959	0.24906024096385534	0.313750612745098	0.3643676716917921	0.2734482444140447	NULL	0.2626316316316317	0.28249832495812394	0.24144259818731115	NULL	0.22811348005502066	0.2576742043551089	0.274226597582038	0.18516455696202533	0.2741103575832305	0.2802772194304857	0.2780917343526039	NULL	NULL	0.2717646551724138
NM_001198743	NULL	NULL	0.1997532467532468	NULL	NULL	NULL	0.2671818181818182	NULL	NULL	NULL	0.1953722943722944	NULL	NULL	NULL	0.1827099567099567	NULL	NULL	NULL	0.21905627705627706	NULL	0.27134049409237376	NULL	0.2446839826839827	0.2722764705882353
NM_001198749	NULL	NULL	NULL	0.3124874213836478	NULL	0.2925492957746479	NULL	0.3570779896013865	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2606118881118881	NULL	0.24477391304347826	NULL	NULL	NULL	NULL	NULL	NULL
NM_001164240	0.2891124371859297	NULL	0.26772477064220185	0.2963600352112676	0.3243986402966625	0.5404814814814815	0.30533944954128445	0.3265419913419914	0.25630459408432976	NULL	0.2558119266055046	0.2567845744680851	0.2374364406779661	NULL	0.1959266055045872	0.2518468619246862	0.2761280048076923	0.5394473684210528	0.2758142201834863	0.2678344537815125	0.281993986770896	0.61678125	0.2849701834862385	0.2719430962343096
NM_200771	0.2714009623095429	0.2950566037735849	0.2542428571428571	0.2804639016897081	0.3644328125	0.3381226415094339	0.3410775510204081	0.3852412280701754	0.2452	0.20475471698113207	0.2397469387755102	0.2558409785932721	0.21638897763578274	0.2310841121495327	0.19065510204081632	0.2332396946564885	0.29435225505443235	0.2902803738317757	0.2816714285714286	0.3040029027576197	0.3112472	0.3226509433962264	0.2975591836734694	0.3196544342507645
NM_200777	0.2912278156996587	0.31995625	0.2729829931972789	NULL	0.2943646209386281	0.28580392156862744	0.2886259977194983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24775382653061226	0.2428648648648649	0.2437323943661972	NULL	NULL	NULL	NULL	NULL
NM_200776	0.2824466378778532	0.2391182795698925	0.2822648601398602	0.31085567010309273	0.330703182374541	0.35257446808510634	0.3247896103896104	0.3400446735395189	0.2717782002534854	0.23997765363128484	0.274115523465704	0.2824398625429553	0.22819975031210984	0.1879726775956284	0.2345398936170213	0.22892096219931266	0.2811339829476248	0.2677333333333333	0.2856453287197232	0.2721924398625429	0.2908627450980392	0.27003076923076924	0.29331413612565443	0.29516838487972513
