egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
nan	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_212847	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.621989194094	NULL	NULL	NULL	0.562311499245	0.540896280837	0.538564297415	0.536830192458	0.56435928379	0.511825366554	0.501084395082	0.509665127681	0.534114774115
NM_212844	NULL	NULL	NULL	0.535133928686	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_212845	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001004627	0.491007061222	0.321290127196	0.492883266189	0.472043279167	0.425997934435	NULL	0.431866017114	0.385157191597	0.545470145235	0.381658878505	0.553726777412	0.489554165147	0.58255824364	0.421789582259	0.590628419542	0.525967578521	0.542891505025	0.272315202232	0.542626599778	0.554828397152	0.504276795039	0.193059562736	0.509220267618	0.461419002837	0.491681850109	0.281470678539	0.490388080037	0.507354129475
NM_212849	0.545015973156	NULL	0.545015973156	NULL	0.458879550579	NULL	0.458879550579	NULL	0.540740429638	NULL	0.540740429638	NULL	0.596387822335	NULL	0.596387822335	NULL	0.572894685809	NULL	0.572894685809	NULL	0.518861985386	NULL	0.518861985386	NULL	NULL	NULL	NULL	NULL
NM_205638	0.496041735918	0.453672271031	0.507193163293	0.486583754863	0.441128095982	0.409998986436	0.442791652549	0.445885620531	0.533247089013	0.487927510085	0.53490135332	0.540561287551	0.587101213545	NULL	0.592541052465	0.585935930668	0.544012093241	0.532630465976	0.532481086262	0.568405650915	0.517516732603	0.491749002942	0.51841488317	0.523258157413	0.541606370445	0.505365014082	0.535897279091	0.559259464591
NM_001159988	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.653565573908	NULL	0.661105251298	0.628088522527	0.607236861227	NULL	0.592149495144	0.657434686156	0.572591550751	NULL	0.576749588367	0.553048932506	0.551682837426	NULL	0.545279677929	0.574044069761
NM_001159983	0.469603795699	0.449961942936	0.531547025275	0.419840633346	0.427269578395	0.456260525232	0.462801560629	0.381237833938	0.470736933787	0.459866025574	0.494772491207	0.45383591358	0.570247605116	0.574854139068	0.609251435208	0.535754085183	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.491537657406	NULL	NULL	NULL	NULL
NM_001159985	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001197257	0.528410456414	0.662700426557	0.54118869231	0.501317587541	0.449319618802	0.61424218546	0.46972386838	0.408179799058	0.530762483339	NULL	0.549213522187	0.51509565797	0.603045257113	NULL	0.617481986699	0.58513254983	0.559466971273	NULL	NULL	0.574909657212	0.549405687022	0.678675887755	0.548192801658	0.54213100388	0.531919448283	NULL	NULL	0.539271288972
NM_001198743	NULL	NULL	0.470264610308	NULL	NULL	NULL	0.420860948543	NULL	NULL	NULL	0.507594773886	NULL	NULL	NULL	0.599210674176	NULL	NULL	NULL	0.636506149571	NULL	NULL	NULL	0.535696362976	NULL	0.529709687882	NULL	0.468570564639	0.545627504356
NM_001198741	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001198745	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001198749	NULL	NULL	NULL	0.472022021661	NULL	0.479122774779	NULL	0.423610671248	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.584393496086	NULL	NULL	NULL	NULL	NULL	0.582353840665	NULL	NULL	NULL	NULL	NULL	NULL
NM_001164240	0.507606434043	NULL	0.513355914385	0.505699052931	0.450621827126	0.295864836261	0.426050441074	0.460211239654	0.557198893092	NULL	0.559608515312	0.558499286368	0.600444450624	NULL	0.625427226691	0.588997799947	0.591477055426	0.404726848091	0.529882472156	0.618451627554	0.543222863514	0.31320013043	0.477809902428	0.570086801487	0.530535359881	0.281838995288	0.463225534842	0.556183559451
NM_001164241	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_200772	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_200771	0.493328248619	0.513940401586	0.500318951781	0.482843632273	0.426856504194	0.425931775194	0.415923881879	0.429541196273	0.548465085808	0.598381134857	0.557306815947	0.532292605646	0.580184698403	0.606694984507	0.599847016873	0.558480861466	0.533645807445	0.570603428114	0.518513288262	0.537478719166	0.508073355481	0.487802324112	0.4925071245	0.518564889316	0.497694437091	0.479089765112	0.49000830861	0.504211867007
NM_200777	0.528810209344	0.49750319868	0.545620940838	NULL	0.48949067716	0.488953399386	0.496572321466	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.603071611704	0.606236578221	0.597205938608	NULL	NULL	NULL	NULL	NULL
