#transcript	length	unique_read_num	multiple_read_num
NM_001353934	559	301	134852
NM_180964	755	374	157596
NM_183071	1312	501	245208
NM_180965	852	706	156042
NM_213336	1459	370	255716
NM_200086	1012	518	169116
NM_131263	1753	646	288736
NM_213439	1234	332	196142
NM_199782	2184	2622	343022
ENSDART00000165480	521	538	75780
NM_001281721	1433	387	197794
NM_201584	658	187	88032
NM_001110403	2335	951	295892
NM_213302	1639	841	206834
NM_200303	785	1495	97906
NM_130926	621	266	77146
NM_213180	1506	323	182758
NM_001024409	1233	202	145148
NM_200298	785	323	91088
NM_214773	1667	446	192390
NM_131585	1058	449	120124
NM_181601	1767	341	201002
NM_212758	782	258	84158
NM_001327928	826	168	86908
NM_153644	800	347	82634
NM_173247	1264	209	126082
NM_200458	2810	498	279294
NM_212909	1162	554	111662
NM_001105108	1254	335	120376
NM_001243178	360	60	34336
NM_213058	2340	222	215122
NM_212818	1632	670	148890
NM_200026	515	130	45352
NM_001313770	853	177	74840
NM_130939	1435	751	121296
NM_213092	1589	227	131792
NM_200732	483	193	39822
NM_001017593	1279	3884	98358
NM_200845	453	106	35460
NM_212996	717	134	55014
NM_213641	1708	451	130486
NM_001017797	1307	1411	98136
NM_212584	1391	244	104392
NM_001037424	1074	216	80478
NM_001309644	1435	218	106298
NM_201318	1400	817	102782
NM_001089351	631	807	45696
NM_198121	1234	154	90096
NM_001031676	2397	1420	173040
NM_212833	990	796	70806
NM_001126457	1515	692	107970
NM_199430	1480	604	104830
NM_200008	762	153	54122
NM_200034	781	619	54788
NM_001100070	893	69	61194
NM_001003432	636	69	43122
NM_001076652	2835	504	190630
NM_001002106	1038	109	69164
NM_131444	1040	772	68062
NM_131513	1495	590	96644
NM_201477	1088	231	70390
NM_001002068	805	436	51804
NM_198140	1041	143	67152
NM_205613	901	264	57820
NM_201101	887	209	56310
NM_214696	2658	1559	165462
NM_173224	998	194	62198
NM_001040321	1659	882	102380
NM_131310	2699	333	166838
NM_001098392	1870	838	114628
NM_001040043	498	85	30254
NM_001013265	1080	1962	63210
NM_130948	1240	537	73996
NM_001004674	895	175	53600
NM_001089544	1215	101	72508
NM_173235	635	83	37690
NM_173222	1437	193	84950
