#transcript	length	unique_read_num	multiple_read_num
NM_131263	1753	1996	538004
NM_001353934	559	178	112648
NM_001281721	1433	574	266368
NM_183071	1312	560	238268
NM_001110403	2335	1301	392612
NM_131585	1058	853	170100
NM_201584	658	359	105520
NM_130926	621	325	81690
NM_213336	1459	458	181946
NM_213302	1639	1173	200940
NM_212758	782	390	95504
NM_200026	515	277	62632
NM_181601	1767	805	209060
ENSDART00000153433	194	718	21690
NM_001243178	360	149	41258
NM_173247	1264	399	141536
NM_200845	453	185	50296
NM_212996	717	593	78568
NM_200303	785	1419	85072
NM_001040321	1659	1525	180028
NM_200458	2810	704	296928
NM_200732	483	173	49872
NM_001130192	3149	1036	310834
NM_001037424	1074	588	105170
NM_213168	2419	700	235556
NM_001126457	1515	1388	143336
NM_131031	1672	623	158466
NM_130925	1985	5932	177946
NM_180964	755	173	67774
NM_001309644	1435	462	127590
NM_200104	1558	3289	133392
NM_212584	1391	403	121340
NM_001017797	1307	2025	112344
NM_200086	1012	440	87690
NM_213641	1708	562	147376
NM_153644	800	337	66732
NM_212818	1632	590	133182
NM_001003432	636	133	51402
NM_001040043	498	110	39408
NM_131310	2699	690	213480
NM_173235	635	140	49796
NM_001002106	1038	176	81408
ENSDART00000117474	71	2217	3278
NM_001105108	1254	845	94522
NM_001327928	826	118	62080
NM_198140	1041	307	76594
NM_200815	451	88	32938
NM_201101	887	318	64618
NM_201318	1400	773	101504
NM_214773	1667	452	121314
NM_213439	1234	177	89880
NM_200852	722	284	51668
NM_173234	483	211	34366
NM_131444	1040	811	73378
NM_213364	2853	557	202566
NM_001002139	610	97	43240
NM_001309525	2542	1293	172778
NM_213204	482	1480	31178
NM_001002486	304	96	20380
NM_001002078	399	87	26430
NM_200046	629	119	41040
NM_001003844	919	128	59460
NM_212833	990	672	62970
NM_001031676	2397	1673	149668
NM_001105526	393	102	24312
NM_001098392	1870	819	115158
NM_212587	1840	1056	109218
NM_213058	2340	198	139576
NM_213113	524	89	30874
NM_213034	513	102	30122
NM_001017593	1279	1871	73356
NM_212953	298	75	17392
NM_201060	620	142	36064
NM_213223	1558	388	90232
NM_001002677	1296	602	74608
NM_001100436	441	63	25424
NM_214793	694	242	39638
NM_200752	630	212	35904
NM_001001590	1354	613	77000
NM_199481	1939	350	110608
NM_001128336	1845	590	104752
NM_199430	1480	718	83390
NM_200047	832	173	46940
NM_001002378	887	249	49510
NM_213092	1589	310	87738
NM_200502	613	132	33362
NM_199782	2184	1044	117108
NM_173224	998	209	52822
NM_205667	963	198	50746
NM_131883	2454	880	128350
NM_001098730	1026	568	53142
NM_213019	1049	190	54524
NM_213317	2315	2284	118090
NM_131513	1495	383	76428
NM_001115114	1300	123	66220
NM_001002069	344	116	17350
NM_001001593	537	107	27128
NM_214696	2658	1953	132456
NM_001002866	472	101	23744
ENSDART00000163316	7477	2251	374924
NM_214714	2273	427	114072
NM_001002079	503	99	24946
NM_173222	1437	228	71254
NM_213178	1954	446	95142
NM_130948	1240	332	60214
NM_200034	781	385	37504
NM_212603	1499	721	71884
NM_001004674	895	196	43090
NM_201061	504	80	24178
NM_200713	813	175	38830
NM_200750	463	138	22074
NM_001076652	2835	599	134702
NM_001002527	968	231	45724
NM_001009889	2617	762	122300
NM_205613	901	328	41908
NM_001077355	1851	199	86272
NM_201477	1088	211	50412
NM_212909	1162	350	53676
NM_180965	852	218	39232
NM_212708	2973	929	133078
NM_199428	1597	331	71612
NM_212937	1764	903	78318
NM_001123007	734	134	32550
NM_212932	1336	545	58860
NM_001024409	1233	119	54332
NM_212977	1620	221	70366
NM_200027	727	140	30944
NM_001002081	568	109	23902
NM_201217	2259	955	94472
NM_212675	1290	782	53386
NM_152949	1899	679	78740
NM_213377	570	100	23628
NM_001044324	3798	1134	156792
NM_213180	1506	121	62420
NM_001013265	1080	1376	43368
NM_001013533	2369	750	97374
NM_200949	1869	275	77100
NM_001002155	566	130	23270
NM_200867	1249	565	51006
NM_213124	1505	175	61576
ENSDART00000176179	244	9952	38
NM_001079973	1842	406	74878
NM_200298	785	122	31828
NM_001033107	2124	526	85210
NM_200765	520	193	20624
NM_130995	2082	270	82428
NM_131309	1418	322	55630
NM_182866	2633	664	103164
NM_199949	1010	136	39124
NM_213493	1980	715	75610
NM_198143	657	502	24762
NM_201468	1862	297	70810
NM_201146	561	60	21356
NM_001003447	678	115	25756
NM_201153	832	74	31584
NM_001001399	1042	97	39492
NM_173233	520	72	19680
NM_001319650	804	67	30326
NM_201052	1066	109	39734
NM_199708	2037	512	75458
NM_212762	435	122	16082
NM_001003869	1684	317	62282
NM_201336	2817	409	104172
NM_001089544	1215	111	44792
NM_001017574	1635	223	60008
NM_001077535	2030	306	74234
NM_213277	2437	410	88826
NM_214723	1488	79	54242
NM_200028	466	178	16712
NM_130939	1435	431	51370
NM_001089351	631	390	22356
NM_200078	1580	151	56594
NM_213013	986	101	34836
NM_131025	4186	357	146914
NM_001110121	508	53	17756
NM_213466	1532	291	53230
NM_001043323	817	783	27546
NM_199546	1638	295	56230
NM_173251	890	68	30590
NM_213015	1944	3100	63260
NM_213107	1258	381	42464
NM_130941	4366	670	147900
NM_001076732	519	41	17590
NM_001256190	1048	176	35392
NM_131176	1454	250	48992
NM_212784	763	128	25620
NM_199535	768	133	25642
NM_213351	1541	167	51390
NM_001040375	927	264	30642
NM_173263	1471	137	48490
NM_213208	687	79	22440
NM_130922	2069	180	67588
NM_001313770	853	78	27660
NM_201192	2166	286	69534
NM_131580	1081	104	34520
NM_200029	495	53	15796
NM_001045013	3195	1270	100716
NM_198366	2668	737	84140
NM_201191	379	57	11964
NM_001005589	851	117	26868
NM_001015060	2812	309	88802
NM_131404	1466	173	46278
NM_131247	1497	950	46430
NM_001145359	1212	122	38230
NM_199749	1558	410	48618
NM_199548	1566	255	49014
NM_001161599	1896	1433	58052
ENSDART00000165480	521	222	16120
NM_001045349	1628	173	50838
NM_205562	1110	214	34288
